Name	Database_ID	start_bp	end_bp	variable	value	cancer_type_total_patients	cancer
OR4F21	ENSG00000176269.3	166049.0	167043.0	gain	19	122	brca
OR4F21	ENSG00000176269.3	166049.0	167043.0	loss	56	122	brca
RPL23AP53	ENSG00000223508.5	213186.0	232231.0	gain	19	122	brca
RPL23AP53	ENSG00000223508.5	213186.0	232231.0	loss	56	122	brca
ZNF596	ENSG00000172748.7	232137.0	264703.0	gain	19	122	brca
ZNF596	ENSG00000172748.7	232137.0	264703.0	loss	56	122	brca
FBXO25	ENSG00000147364.12	406428.0	477967.0	gain	19	122	brca
FBXO25	ENSG00000147364.12	406428.0	477967.0	loss	56	122	brca
TDRP	ENSG00000180190.7	489792.0	545781.0	gain	19	122	brca
TDRP	ENSG00000180190.7	489792.0	545781.0	loss	56	122	brca
ERICH1	ENSG00000104714.9	614746.0	738106.0	gain	19	122	brca
ERICH1	ENSG00000104714.9	614746.0	738106.0	loss	56	122	brca
DLGAP2	ENSG00000198010.7	737596.0	1708474.0	gain	19	122	brca
DLGAP2	ENSG00000198010.7	737596.0	1708474.0	loss	57	122	brca
CLN8	ENSG00000182372.6	1755778.0	1801711.0	gain	18	122	brca
CLN8	ENSG00000182372.6	1755778.0	1801711.0	loss	58	122	brca
MIR596	ENSG00000207826.1	1817231.0	1817307.0	gain	18	122	brca
MIR596	ENSG00000207826.1	1817231.0	1817307.0	loss	58	122	brca
ARHGEF10	ENSG00000104728.11	1823926.0	1958641.0	gain	17	122	brca
ARHGEF10	ENSG00000104728.11	1823926.0	1958641.0	loss	59	122	brca
KBTBD11	ENSG00000176595.3	1973677.0	2006936.0	gain	17	122	brca
KBTBD11	ENSG00000176595.3	1973677.0	2006936.0	loss	59	122	brca
MYOM2	ENSG00000036448.5	2045046.0	2165552.0	gain	17	122	brca
MYOM2	ENSG00000036448.5	2045046.0	2165552.0	loss	59	122	brca
CSMD1	ENSG00000183117.13	2935353.0	4994972.0	gain	18	122	brca
CSMD1	ENSG00000183117.13	2935353.0	4994972.0	loss	59	122	brca
RNA5SP251	ENSG00000222546.1	3700492.0	3700628.0	gain	15	122	brca
RNA5SP251	ENSG00000222546.1	3700492.0	3700628.0	loss	58	122	brca
RN7SL318P	ENSG00000242079.1	5142411.0	5142707.0	gain	15	122	brca
RN7SL318P	ENSG00000242079.1	5142411.0	5142707.0	loss	58	122	brca
RN7SKP159	ENSG00000222589.1	5910945.0	5911236.0	gain	15	122	brca
RN7SKP159	ENSG00000222589.1	5910945.0	5911236.0	loss	58	122	brca
MCPH1	ENSG00000147316.8	6406596.0	6648508.0	gain	15	122	brca
MCPH1	ENSG00000147316.8	6406596.0	6648508.0	loss	58	122	brca
ANGPT2	ENSG00000091879.9	6499651.0	6563409.0	gain	15	122	brca
ANGPT2	ENSG00000091879.9	6499651.0	6563409.0	loss	58	122	brca
AGPAT5	ENSG00000155189.7	6708642.0	6761503.0	gain	15	122	brca
AGPAT5	ENSG00000155189.7	6708642.0	6761503.0	loss	58	122	brca
MIR4659A	ENSG00000266038.1	6745164.0	6745244.0	gain	15	122	brca
MIR4659A	ENSG00000266038.1	6745164.0	6745244.0	loss	58	122	brca
XKR5	ENSG00000186530.13	6808517.0	6835524.0	gain	16	122	brca
XKR5	ENSG00000186530.13	6808517.0	6835524.0	loss	58	122	brca
DEFB1	ENSG00000164825.3	6870592.0	6877936.0	gain	16	122	brca
DEFB1	ENSG00000164825.3	6870592.0	6877936.0	loss	58	122	brca
DEFA6	ENSG00000164822.4	6924697.0	6926076.0	gain	16	122	brca
DEFA6	ENSG00000164822.4	6924697.0	6926076.0	loss	58	122	brca
DEFA4	ENSG00000164821.4	6935820.0	6938306.0	gain	18	122	brca
DEFA4	ENSG00000164821.4	6935820.0	6938306.0	loss	60	122	brca
DEFA1	ENSG00000206047.2	6977649.0	6980080.0	gain	18	122	brca
DEFA1	ENSG00000206047.2	6977649.0	6980080.0	loss	60	122	brca
DEFA1B	ENSG00000240247.2	6996766.0	6999195.0	gain	18	122	brca
DEFA1B	ENSG00000240247.2	6996766.0	6999195.0	loss	60	122	brca
DEFA3	ENSG00000239839.1	7015869.0	7018297.0	gain	18	122	brca
DEFA3	ENSG00000239839.1	7015869.0	7018297.0	loss	60	122	brca
DEFA5	ENSG00000164816.6	7055304.0	7056739.0	gain	18	122	brca
DEFA5	ENSG00000164816.6	7055304.0	7056739.0	loss	60	122	brca
FAM66B	ENSG00000215374.5	7298744.0	7355359.0	gain	18	122	brca
FAM66B	ENSG00000215374.5	7298744.0	7355359.0	loss	60	122	brca
ZNF705G	ENSG00000215372.5	7355517.0	7385558.0	gain	18	122	brca
ZNF705G	ENSG00000215372.5	7355517.0	7385558.0	loss	60	122	brca
DEFB4B	ENSG00000177257.2	7414855.0	7416863.0	gain	18	122	brca
DEFB4B	ENSG00000177257.2	7414855.0	7416863.0	loss	60	122	brca
DEFB103B	ENSG00000177243.3	7428888.0	7430348.0	gain	18	122	brca
DEFB103B	ENSG00000177243.3	7428888.0	7430348.0	loss	60	122	brca
SPAG11B	ENSG00000164871.13	7442684.0	7463674.0	gain	18	122	brca
SPAG11B	ENSG00000164871.13	7442684.0	7463674.0	loss	60	122	brca
DEFB104B	ENSG00000177023.2	7470308.0	7475082.0	gain	18	122	brca
DEFB104B	ENSG00000177023.2	7470308.0	7475082.0	loss	60	122	brca
DEFB106B	ENSG00000187082.2	7482504.0	7486400.0	gain	18	122	brca
DEFB106B	ENSG00000187082.2	7482504.0	7486400.0	loss	60	122	brca
DEFB105B	ENSG00000186599.7	7487679.0	7489593.0	gain	18	122	brca
DEFB105B	ENSG00000186599.7	7487679.0	7489593.0	loss	60	122	brca
DEFB107B	ENSG00000198129.2	7495911.0	7509311.0	gain	18	122	brca
DEFB107B	ENSG00000198129.2	7495911.0	7509311.0	loss	60	122	brca
DEFB107A	ENSG00000186572.2	7811720.0	7815716.0	gain	18	122	brca
DEFB107A	ENSG00000186572.2	7811720.0	7815716.0	loss	60	122	brca
DEFB105A	ENSG00000186562.7	7821966.0	7823889.0	gain	18	122	brca
DEFB105A	ENSG00000186562.7	7821966.0	7823889.0	loss	60	122	brca
DEFB106A	ENSG00000186579.2	7825139.0	7829053.0	gain	18	122	brca
DEFB106A	ENSG00000186579.2	7825139.0	7829053.0	loss	60	122	brca
DEFB104A	ENSG00000176782.2	7836436.0	7841242.0	gain	18	122	brca
DEFB104A	ENSG00000176782.2	7836436.0	7841242.0	loss	60	122	brca
SPAG11A	ENSG00000178287.13	7847876.0	7868867.0	gain	18	122	brca
SPAG11A	ENSG00000178287.13	7847876.0	7868867.0	loss	60	122	brca
DEFB103A	ENSG00000176797.3	7881392.0	7882663.0	gain	18	122	brca
DEFB103A	ENSG00000176797.3	7881392.0	7882663.0	loss	60	122	brca
DEFB4A	ENSG00000171711.2	7894677.0	7896716.0	gain	18	122	brca
DEFB4A	ENSG00000171711.2	7894677.0	7896716.0	loss	60	122	brca
ZNF705B	ENSG00000215356.3	7926337.0	7952413.0	gain	18	122	brca
ZNF705B	ENSG00000215356.3	7926337.0	7952413.0	loss	60	122	brca
FAM66E	ENSG00000225725.4	7955014.0	8008755.0	gain	18	122	brca
FAM66E	ENSG00000225725.4	7955014.0	8008755.0	loss	60	122	brca
FAM90A24P	ENSG00000215354.5	8019429.0	8024652.0	gain	18	122	brca
FAM90A24P	ENSG00000215354.5	8019429.0	8024652.0	loss	60	122	brca
MIR548I3	ENSG00000221305.1	8088941.0	8089089.0	gain	18	122	brca
MIR548I3	ENSG00000221305.1	8088941.0	8089089.0	loss	60	122	brca
FAM85B	ENSG00000253893.2	8167819.0	8226614.0	gain	18	122	brca
FAM85B	ENSG00000253893.2	8167819.0	8226614.0	loss	60	122	brca
FAM86B3P	ENSG00000173295.3	8228595.0	8244865.0	gain	18	122	brca
FAM86B3P	ENSG00000173295.3	8228595.0	8244865.0	loss	60	122	brca
ALG1L13P	ENSG00000253981.1	8236003.0	8244667.0	gain	18	122	brca
ALG1L13P	ENSG00000253981.1	8236003.0	8244667.0	loss	60	122	brca
RN7SL178P	ENSG00000263616.1	8582352.0	8582655.0	gain	18	122	brca
RN7SL178P	ENSG00000263616.1	8582352.0	8582655.0	loss	60	122	brca
CLDN23	ENSG00000253958.1	8701937.0	8704096.0	gain	18	122	brca
CLDN23	ENSG00000253958.1	8701937.0	8704096.0	loss	60	122	brca
MFHAS1	ENSG00000147324.6	8783354.0	8893630.0	gain	17	122	brca
MFHAS1	ENSG00000147324.6	8783354.0	8893630.0	loss	52	122	brca
ERI1	ENSG00000104626.10	9002147.0	9116746.0	gain	18	122	brca
ERI1	ENSG00000104626.10	9002147.0	9116746.0	loss	52	122	brca
MIR4660	ENSG00000263407.1	9048445.0	9048518.0	gain	17	122	brca
MIR4660	ENSG00000263407.1	9048445.0	9048518.0	loss	52	122	brca
PPP1R3B	ENSG00000173281.4	9136255.0	9151574.0	gain	18	122	brca
PPP1R3B	ENSG00000173281.4	9136255.0	9151574.0	loss	52	122	brca
TNKS	ENSG00000173273.11	9555912.0	9782346.0	gain	18	122	brca
TNKS	ENSG00000173273.11	9555912.0	9782346.0	loss	52	122	brca
MIR597	ENSG00000207701.1	9741672.0	9741768.0	gain	18	122	brca
MIR597	ENSG00000207701.1	9741672.0	9741768.0	loss	52	122	brca
LINC00599	ENSG00000253230.2	9899871.0	9906678.0	gain	18	122	brca
LINC00599	ENSG00000253230.2	9899871.0	9906678.0	loss	52	122	brca
MSRA	ENSG00000175806.10	10054292.0	10428891.0	gain	18	122	brca
MSRA	ENSG00000175806.10	10054292.0	10428891.0	loss	52	122	brca
PRSS51	ENSG00000253649.1	10482878.0	10547585.0	gain	18	122	brca
PRSS51	ENSG00000253649.1	10482878.0	10547585.0	loss	52	122	brca
PRSS55	ENSG00000184647.6	10525532.0	10554166.0	gain	18	122	brca
PRSS55	ENSG00000184647.6	10525532.0	10554166.0	loss	52	122	brca
RP1L1	ENSG00000183638.5	10606349.0	10712187.0	gain	18	122	brca
RP1L1	ENSG00000183638.5	10606349.0	10712187.0	loss	52	122	brca
MIR4286	ENSG00000263762.1	10666978.0	10667070.0	gain	18	122	brca
MIR4286	ENSG00000263762.1	10666978.0	10667070.0	loss	52	122	brca
C8orf74	ENSG00000171060.6	10672628.0	10700590.0	gain	18	122	brca
C8orf74	ENSG00000171060.6	10672628.0	10700590.0	loss	52	122	brca
RNA5SP252	ENSG00000212433.1	10686569.0	10686687.0	gain	18	122	brca
RNA5SP252	ENSG00000212433.1	10686569.0	10686687.0	loss	52	122	brca
SOX7	ENSG00000171056.6	10723768.0	10730511.0	gain	19	122	brca
SOX7	ENSG00000171056.6	10723768.0	10730511.0	loss	52	122	brca
PINX1	ENSG00000254093.4	10725399.0	10839847.0	gain	19	122	brca
PINX1	ENSG00000254093.4	10725399.0	10839847.0	loss	52	122	brca
XKR6	ENSG00000171044.6	10896045.0	11201833.0	gain	19	122	brca
XKR6	ENSG00000171044.6	10896045.0	11201833.0	loss	52	122	brca
MIR598	ENSG00000207600.1	11035206.0	11035302.0	gain	19	122	brca
MIR598	ENSG00000207600.1	11035206.0	11035302.0	loss	52	122	brca
LINC00529	ENSG00000236827.1	11247626.0	11267865.0	gain	19	122	brca
LINC00529	ENSG00000236827.1	11247626.0	11267865.0	loss	52	122	brca
MTMR9	ENSG00000104643.5	11284816.0	11328146.0	gain	19	122	brca
MTMR9	ENSG00000104643.5	11284816.0	11328146.0	loss	52	122	brca
SLC35G5	ENSG00000177710.5	11330888.0	11332208.0	gain	19	122	brca
SLC35G5	ENSG00000177710.5	11330888.0	11332208.0	loss	52	122	brca
TDH	ENSG00000154316.10	11339637.0	11368452.0	gain	19	122	brca
TDH	ENSG00000154316.10	11339637.0	11368452.0	loss	52	122	brca
RN7SL293P	ENSG00000242483.2	11379395.0	11379675.0	gain	19	122	brca
RN7SL293P	ENSG00000242483.2	11379395.0	11379675.0	loss	52	122	brca
FAM167A	ENSG00000154319.10	11421476.0	11475908.0	gain	19	122	brca
FAM167A	ENSG00000154319.10	11421476.0	11475908.0	loss	52	122	brca
BLK	ENSG00000136573.8	11486894.0	11564599.0	gain	19	122	brca
BLK	ENSG00000136573.8	11486894.0	11564599.0	loss	52	122	brca
LINC00208	ENSG00000170983.3	11576257.0	11582817.0	gain	19	122	brca
LINC00208	ENSG00000170983.3	11576257.0	11582817.0	loss	52	122	brca
