cancer_type	protein	Database_ID	adj_p
brca	A1BG	NP_570602.2	0.006483175611289581
brca	A2M	NP_000005.2	0.00840446696317106
brca	A2ML1	NP_653271.2|NP_001269353.1	0.005090689305208242
brca	AAAS	NP_056480.1|NP_001166937.1	0.008359604355557854
brca	AACS	NP_076417.2|NP_001306769.1|NP_001306768.1	0.018550482348239687
brca	AADAT	NP_057312.1|NP_001273611.1	0.02907502167381597
brca	AAED1	NP_714542.1	0.01740814154754274
brca	AAGAB	NP_078942.3|NP_001258815.1	0.005443218728698911
brca	AAK1	NP_055726.3	0.008800646979606901
brca	AAMDC	NP_078960.1|NP_001303886.1|NP_001303887.1	0.004331978795688954
brca	AAMP	NP_001289474.1|NP_001078.2	0.0043418133543346804
brca	AAR2	NP_001258803.1	0.07268901717856466
brca	AARS	NP_001596.2	0.004370777126495698
brca	AARS2	NP_065796.1	0.025704586060451708
brca	AARSD1	NP_001248363.1|NP_001129514.2|NP_079543.1	0.00807554471882391
brca	AASDHPPT	NP_056238.2	0.008531512488062469
brca	AASS	NP_005754.2	0.11945592735018892
brca	AATF	NP_036270.1	0.004916434552142095
brca	ABAT	NP_065737.2	0.004331978795688954
brca	ABCA1	NP_005493.2	0.01524125178005595
brca	ABCA12	NP_775099.2|NP_056472.2	0.0051730646654408316
brca	ABCA13	NP_689914.3	0.13122226643371
brca	ABCA2	NP_997698.1|NP_001597.2	0.026567062701994125
brca	ABCA3	NP_001080.2	0.004331978795688954
brca	ABCA6	NP_525023.2	0.03409623947791814
brca	ABCA8	NP_001275914.1|NP_001275915.1	0.051498179733456696
brca	ABCB1	NP_000918.2|NP_003733.2	0.005055067250619723
brca	ABCB10	NP_036221.2	0.009749267671264326
brca	ABCB5	NP_001157413.1|NP_848654.3	0.007228582651309606
brca	ABCB6	NP_005680.1	0.004331978795688954
brca	ABCB7	NP_001258628.1|NP_001258626.1	0.022551867722069855
brca	ABCB7	NP_004290.2|NP_001258625.1|NP_001258627.1	0.004757685488786257
brca	ABCB8	NP_001269220.1|NP_009119.2|NP_001269222.1|NP_001269221.1	0.004331978795688954
brca	ABCC1	NP_004987.2	0.01371374586918922
brca	ABCC10	NP_001185863.1|NP_258261.2	0.015780851095986367
brca	ABCC11	NP_149163.2|NP_660187.1|NP_150229.2	0.01027254452830544
brca	ABCC2	NP_000383.1	0.004331978795688954
brca	ABCC3	NP_003777.2|NP_001137542.1	0.007499324426391697
brca	ABCC5	NP_005679.2|NP_001306961.1|NP_001018881.1	0.005388996859824067
brca	ABCD1	NP_000024.2	0.014988609521584397
brca	ABCD3	NP_002849.1|NP_001116146.1	0.01128915708077817
brca	ABCE1	NP_001035809.1	0.00442826265471901
brca	ABCF1	NP_001020262.1|NP_001081.1	0.006166188649051652
brca	ABCF2	NP_005683.2|NP_009120.1	0.009533999004992817
