protein	cancers	mean_simp_change	num_cancers
AGPAT5	brca_colon_hnscc_lscc_luad_ovarian	-1	6
ATP6V1B2	brca_colon_hnscc_lscc_luad_ovarian	-1	6
CHMP7	brca_colon_hnscc_lscc_luad_ovarian	-1	6
ERI1	brca_colon_hnscc_lscc_luad_ovarian	-1	6
PPP2CB	brca_colon_hnscc_lscc_luad_ovarian	-1	6
PPP2R2A	brca_colon_hnscc_lscc_luad_ovarian	-1	6
SARAF	brca_colon_hnscc_lscc_luad_ovarian	-1	6
VPS37A	brca_colon_hnscc_lscc_luad_ovarian	-1	6
XPO7	brca_colon_hnscc_lscc_luad_ovarian	-1	6
FAM160B2	brca_colon_hnscc_lscc_luad	-1	5
NAT1	brca_colon_hnscc_lscc_luad	-1	5
SH2D4A	brca_colon_hnscc_lscc_luad	-1	5
PINX1	brca_colon_hnscc_lscc_ovarian	-1	5
KIF13B	brca_colon_hnscc_luad_ovarian	-1	5
MSRA	brca_colon_hnscc_luad_ovarian	-1	5
FDFT1	brca_colon_lscc_luad_ovarian	-1	5
R3HCC1	brca_colon_lscc_luad_ovarian	-1	5
SLC39A14	brca_colon_lscc_luad_ovarian	-1	5
DOCK5	brca_colon_hnscc_luad	-1	4
CNOT7	brca_hnscc_lscc_luad	-1	4
ERICH1	brca_hnscc_lscc_luad	-1	4
MTMR9	brca_hnscc_luad_ovarian	-1	4
GTF2E2	brca_lscc_luad_ovarian	-1	4
GSR	colon_lscc_luad_ovarian	-1	4
ARHGEF10	brca_hnscc_luad	-1	3
NEIL2	brca_hnscc_luad	-1	3
KCTD9	brca_lscc_luad	-1	3
NUDT18	brca_lscc_luad	-1	3
PBK	brca_lscc_luad	-1	3
PSD3	brca_lscc_ovarian	-1	3
CTSB	colon_luad_ovarian	-1	3
PPP3CC	hnscc_lscc_luad	-1	3
ASAH1	brca_colon	-1	2
CDCA2	brca_lscc	-1	2
TNKS	brca_lscc	-1	2
HMBOX1	brca_luad	-1	2
MTMR7	brca_luad	-1	2
DCTN6	colon_luad	-1	2
TDRP	hnscc_lscc	-1	2
KBTBD11	hnscc_luad	-1	2
BIN3	brca	-1	1
BNIP3L	brca	-1	1
MTUS1	brca	-1	1
SLC7A2	brca	-1	1
DOK2	hnscc	-1	1
SORBS3	hnscc	-1	1
MFHAS1	lscc	-1	1
PCM1	lscc	-1	1
BLK	luad	-1	1
CCDC25	luad	-1	1
DEFA4	luad	-1	1
LPL	luad	-1	1
PNMA2	luad	-1	1
RBPMS	luad	-1	1
DPYSL2	ovarian	-1	1
NEFL	ovarian	-1	1
