Name	variable	value	cancer	type	omics
AC037459.4	brca_pvalue_transcriptomics	0.2832648261654117	brca	pvalue	transcriptomics
ADAM28	brca_pvalue_transcriptomics	0.5823076902207829	brca	pvalue	transcriptomics
ADAM7	brca_pvalue_transcriptomics	0.6121935432277651	brca	pvalue	transcriptomics
ADAMDEC1	brca_pvalue_transcriptomics	0.6869179340157363	brca	pvalue	transcriptomics
ADRA1A	brca_pvalue_transcriptomics	0.6045978255094852	brca	pvalue	transcriptomics
AF131216.1	brca_pvalue_transcriptomics	0.00801167501374494	brca	pvalue	transcriptomics
AGPAT5	brca_pvalue_transcriptomics	8.121515034694326e-12	brca	pvalue	transcriptomics
ANGPT2	brca_pvalue_transcriptomics	0.8386228397107894	brca	pvalue	transcriptomics
ANGPT2	brca_pvalue_transcriptomics	0.8386228397107894	brca	pvalue	transcriptomics
ARHGEF10	brca_pvalue_transcriptomics	8.499751355614103e-08	brca	pvalue	transcriptomics
ASAH1	brca_pvalue_transcriptomics	0.0003816170233997333	brca	pvalue	transcriptomics
ATP6V1B2	brca_pvalue_transcriptomics	1.194320269229164e-08	brca	pvalue	transcriptomics
BIN3	brca_pvalue_transcriptomics	3.2181314930869925e-12	brca	pvalue	transcriptomics
BLK	brca_pvalue_transcriptomics	0.7869033736297167	brca	pvalue	transcriptomics
BMP1	brca_pvalue_transcriptomics	0.5419770356307038	brca	pvalue	transcriptomics
BMP1	brca_pvalue_transcriptomics	0.5419770356307038	brca	pvalue	transcriptomics
BNIP3L	brca_pvalue_transcriptomics	6.114663676932109e-10	brca	pvalue	transcriptomics
C8orf48	brca_pvalue_transcriptomics	0.005716338281007916	brca	pvalue	transcriptomics
C8orf58	brca_pvalue_transcriptomics	3.786775650550682e-07	brca	pvalue	transcriptomics
C8orf74	brca_pvalue_transcriptomics	0.9000979407621058	brca	pvalue	transcriptomics
CCAR2	brca_pvalue_transcriptomics	2.4097544986226523e-17	brca	pvalue	transcriptomics
CCDC25	brca_pvalue_transcriptomics	8.480445630277051e-21	brca	pvalue	transcriptomics
CDCA2	brca_pvalue_transcriptomics	0.0011967396348320637	brca	pvalue	transcriptomics
CHMP7	brca_pvalue_transcriptomics	8.480445630277051e-21	brca	pvalue	transcriptomics
CHRNA2	brca_pvalue_transcriptomics	0.4076663142563368	brca	pvalue	transcriptomics
CLDN23	brca_pvalue_transcriptomics	0.0005152447939946864	brca	pvalue	transcriptomics
CLN8	brca_pvalue_transcriptomics	1.3160723712612434e-11	brca	pvalue	transcriptomics
CLU	brca_pvalue_transcriptomics	1.1681371775088815e-05	brca	pvalue	transcriptomics
CNOT7	brca_pvalue_transcriptomics	5.498114603829931e-18	brca	pvalue	transcriptomics
CSGALNACT1	brca_pvalue_transcriptomics	0.0014695761514036424	brca	pvalue	transcriptomics
CSMD1	brca_pvalue_transcriptomics	0.9991132130673978	brca	pvalue	transcriptomics
CTSB	brca_pvalue_transcriptomics	0.020053489364054516	brca	pvalue	transcriptomics
DCTN6	brca_pvalue_transcriptomics	3.150111549625337e-19	brca	pvalue	transcriptomics
DEFA1	brca_pvalue_transcriptomics	0.7445503800692086	brca	pvalue	transcriptomics
DEFA3	brca_pvalue_transcriptomics	0.8386228397107894	brca	pvalue	transcriptomics
DEFA4	brca_pvalue_transcriptomics	0.8966246052978366	brca	pvalue	transcriptomics
DEFA5	brca_pvalue_transcriptomics	0.434901008843127	brca	pvalue	transcriptomics
DEFA6	brca_pvalue_transcriptomics	0.5768991668612833	brca	pvalue	transcriptomics
DEFB1	brca_pvalue_transcriptomics	0.1921312708728781	brca	pvalue	transcriptomics
DEFB103A	brca_pvalue_transcriptomics	0.8699990787717573	brca	pvalue	transcriptomics
DEFB103B	brca_pvalue_transcriptomics	0.635963967026977	brca	pvalue	transcriptomics
DEFB105B	brca_pvalue_transcriptomics	0.6447605308773753	brca	pvalue	transcriptomics
DEFB134	brca_pvalue_transcriptomics	0.07571411384373006	brca	pvalue	transcriptomics
DEFB136	brca_pvalue_transcriptomics	0.3220440800573878	brca	pvalue	transcriptomics
DEFB4A	brca_pvalue_transcriptomics	0.6045978255094852	brca	pvalue	transcriptomics
DEFB4B	brca_pvalue_transcriptomics	0.5085415311574957	brca	pvalue	transcriptomics
DLC1	brca_pvalue_transcriptomics	0.2832648261654117	brca	pvalue	transcriptomics
