cancer_type	protein	Database_ID	adj_p	change
brca	ADAMDEC1	NP_055294.1|NP_001138744.1	0.6022237396290219	-0.439719335855401
brca	AGPAT5	NP_060831.2	0.0036249956775153366	-0.8497548652482267
brca	ANGPT2	NP_001138.1|NP_001112360.1|NP_001112359.1	0.22826269207234634	0.4908295081967212
brca	ARHGEF10	NP_001295082.1|NP_055444.2|NP_001295081.1	0.02802092196317922	-0.5033289929078014
brca	ASAH1	NP_004306.3|NP_808592.2	0.06016957144631092	-0.6675797446808512
brca	ATP6V1B2	NP_001684.2	4.029909529722004e-05	-0.454052170212766
brca	BIN3	NP_061158.1	0.0509502890506201	-0.5521289645390072
brca	BLK	NP_001706.2|NP_001317394.1	0.07161008255854048	0.5373870070921984
brca	BMP1	NP_006120.1|NP_001190.1	0.9164001763374371	-0.04084859574468086
brca	BNIP3L	NP_004322.1|NP_001317420.1	0.03304251081515568	-0.8788780158730161
brca	CDCA2	NP_689775.2|NP_001304835.1|NP_001304836.1	0.10208926955286081	-0.691314705882353
brca	CHMP7	NP_689485.1|NP_001304828.1	2.8975812730069966e-08	-0.7795031205673759
brca	CLU	NP_001822.3	0.393089074619639	-0.40508624113475183
brca	CNOT7	NP_001309022.1|NP_001309020.1|NP_001309023.1|NP_001309018.1|NP_001309026.1|NP_001309029.1	0.003485382771427044	-0.4053752380952381
brca	CTSB	NP_001899.1|NP_001304166.1	0.27705004393583915	-0.2823137304964539
brca	DCTN6	NP_006562.1	0.49263426582876296	-0.12172365957446818
brca	DEFA3	NP_005208.1|NP_001289194.1|NP_004075.1	0.9656226144516338	-0.025633929078014095
brca	DEFA4	NP_001916.1	0.45763745180907894	0.48428342933097057
brca	DLC1	NP_872584.2|NP_001303597.1|NP_001157743.1|NP_079043.3	0.3814886699358208	-0.32359104084321477
brca	DOCK5	NP_079216.4	0.011374982001637233	-0.5186914893617021
brca	DOK2	NP_003965.2|NP_001304729.1	0.6781733145305185	-0.14982734751773052
brca	DUSP4	NP_001385.1|NP_476499.1|NP_004409.1	0.1437659360867706	-0.9178361111111114
brca	ERI1	NP_699163.2	0.0001115987921505223	-0.8539078297872342
brca	ERICH1	NP_997215.1|NP_001290029.1	0.00896754931736566	-0.6917020779220779
brca	FAM160B2	NP_073586.5	0.00030359036455478167	-0.8056124822695034
brca	FDFT1	NP_001274671.1|NP_001274679.1|NP_001274673.1|NP_001274680.1|NP_001274685.1	0.07331622462094597	-0.8324814751773046
brca	GSR	NP_000628.2|NP_001182031.1|NP_001182032.1|NP_001182033.1	0.3462730462347295	-0.31044782978723384
brca	GTF2E2	NP_002086.1	0.03304251081515568	-0.3662710070921986
brca	HMBOX1	NP_001311312.1|NP_001317427.1|NP_001311314.1|NP_001129198.1|NP_001311315.1|NP_001311316.1|NP_001311318.1|NP_001311320.1|NP_001311322.1|NP_001311324.1	0.008335187118175087	-0.5947285714285714
brca	KBTBD11	NP_055682.1	0.6974743421313848	-0.11654666666666685
brca	KCNU1	NP_001027006.2	0.9011431675282394	-0.09867620772946817
brca	KCTD9	NP_060104.2	0.07399230601852984	-0.39230936170212766
brca	KIF13B	NP_056069.2	0.002384970040667881	-0.9770411347517731
brca	LOXL2	NP_002309.1	0.5798518449348806	0.3133734468085106
brca	LPL	NP_000228.1	0.3290392360726131	-0.40452822793148874
brca	LZTS1	NP_066300.1	0.6781733145305185	-0.0968392624113475
brca	MAK16	NP_115898.2	0.0509502890506201	-0.3986346382978723
brca	MFHAS1	NP_004216.2	0.6600045070589803	0.13613248447204965
brca	MSR1	NP_619729.1|NP_619730.1	0.6268490107656715	-0.14991160283687932
brca	MSRA	NP_036463.1|NP_001129143.1|NP_001129142.1|NP_001186658.1	0.004678941119434298	-0.7492580141843972
brca	MTMR7	NP_004677.3	0.08864216540563515	-0.5392405953408111
brca	MTMR9	NP_056273.2	0.0009075106623805212	-0.5527800283687943
brca	MTUS1	NP_001001924.1|NP_001159865.1|NP_065800.1|NP_001317399.1	0.0014739206218678325	-1.0374331063829785
brca	MTUS1	NP_001001925.1	0.08864216540563515	-0.9951902777777777
brca	MYOM2	NP_003961.3	0.38222567494962706	-1.138652380952381
brca	NAT1	NP_001153651.1|NP_001278891.1	0.07421518867080082	-1.2816251063829784
brca	NEFL	NP_006149.2	0.8715625113077119	0.13321026785714293
brca	NEIL2	NP_659480.1|NP_001129220.1	3.949368702713982e-05	-1.2136432056737587
brca	NUDT18	NP_079091.3	0.029008944684692964	-0.40228709219858144
brca	PBK	NP_060962.2|NP_001265874.1	0.07932743788172403	-0.6878149219858155
brca	PDGFRL	NP_006198.1	0.6781733145305185	-0.20907449645390075
brca	PDLIM2	NP_067643.3	0.6781733145305185	-0.11112431205673756
brca	PEBP4	NP_659399.2	0.9164001763374371	-0.04358249999999986
brca	PINX1	NP_060354.4|NP_001271285.1	0.1437659360867706	-0.4573042500000001
brca	PNMA2	NP_009188.1	0.23691103945078687	0.7422763392857143
brca	POLR3D	NP_001713.2	0.5798518449348806	0.10684575886524829
brca	PPP2CB	NP_001009552.1	0.12168334584240632	-0.41295940425531924
brca	PPP2R2A	NP_002708.1|NP_001171062.1	3.095822757669446e-10	-1.3940692198581561
brca	PPP3CC	NP_001230904.1|NP_005596.2|NP_001230903.1	0.06016957144631092	-0.32799443971631204
brca	PSD3	NP_056125.3|NP_996792.1	0.008348274219494795	-0.7254997767857143
brca	R3HCC1	NP_001129580.2|NP_001288579.1	0.0123873114829542	-0.4671899574468086
brca	RBPMS	NP_001008712.1|NP_001008711.1	0.6022237396290219	-0.1578800851063829
brca	SARAF	NP_057211.4|NP_001271168.1	0.1437659360867706	-0.6977271618625271
brca	SH2D4A	NP_071354.2|NP_001167631.1	0.0825066601879735	-0.5794474609929079
brca	SLC39A14	NP_001121903.1|NP_056174.2|NP_001128626.1	0.25890961208825	-0.448995396825397
brca	SLC7A2	NP_001158243.1|NP_001008539.3|NP_003037.4	0.008348274219494795	-1.6092119354838705
brca	SORBS3	NP_005766.3|NP_001018003.1	0.06016957144631092	-0.4428287943262413
brca	STC1	NP_003146.1	0.15933657593020528	-0.7165354042553196
brca	STMN4	NP_110422.2|NP_001269982.1|NP_001269983.1|NP_001269984.1	0.5898216514348936	-0.27576981560283675
brca	TDRP	NP_778250.2|NP_001243042.1	0.5798518449348806	-0.24479160283687926
brca	TNKS	NP_003738.2	0.1437659360867706	-0.3138948368794327
brca	TTI2	NP_001095871.1|NP_001317434.1	0.8983792683335033	-0.03033460992907798
brca	VPS37A	NP_689628.2|NP_001138624.1	0.000829968950638943	-0.4644282836879433
brca	WRN	NP_000544.2	0.0014739206218678325	-0.5114049645390071
brca	XPO7	NP_055839.3	4.029909529722004e-05	-0.8033453900709219
colon	ADAMDEC1		0.12703742805691215	-0.40226680911680907
colon	AGPAT5		0.0026345474355202445	-0.29390694310511095
colon	ARHGEF10		0.5600562807344255	-0.08584545454545456
colon	ASAH1		0.008053278371173976	-0.29489749276759886
colon	ATP6V1B2		2.1189639802909925e-09	-0.3135596914175507
colon	BIN3		0.2576449411010427	-0.08299757575757574
colon	CHMP7		0.0013060619844909656	-0.26520004821600773
colon	CLU		0.5985482820075849	-0.09711432015429122
colon	CNOT7		0.08965707331316025	-0.26651854545454556
colon	CTSB		0.008159381081004696	-0.44394059787849555
colon	DCTN6		0.018850260302604588	-0.13961263259402124
colon	DEFA3		0.3238523508176598	0.4606973859844271
colon	DEFA4		0.5600562807344255	0.11348066538090645
colon	DOCK5		0.00506978338724573	-0.19193299788135595
colon	DOK2		0.5600562807344255	-0.06295974842767298
colon	ERI1		0.017985168092896724	-0.35372647058823525
colon	FAM160B2		0.03056629788937261	-0.29561935483870966
colon	FDFT1		0.0004312349082468028	-0.5687385728061716
colon	GSR		3.2959353813402106e-09	-0.43149064609450344
colon	GTF2E2		0.13163786272577566	-0.19087296296296297
colon	KBTBD11		0.2646782554065739	-0.08541562198649952
colon	KCTD9		0.5997559610531178	-0.07434583333333336
colon	KIF13B		3.751788181982563e-05	-0.2824772420443586
colon	LOXL2		0.5600562807344255	-0.0756223240115719
colon	MAK16		0.03065757563684221	-0.19725245901639332
colon	MSR1		0.5600562807344255	-0.10679952380952384
colon	MSRA		0.03200947476434513	-0.248570625
colon	MTMR9		0.43483049579348104	0.10171296296296292
colon	NAT1		0.0004521423089579116	-0.3288143201542913
colon	NEFL		0.22220809088868904	0.31258461538461557
colon	NEIL2			0.5277111111111111
colon	NUDT18			-0.03323750000000001
colon	PBK		0.092615643477961	-0.26735018115942033
colon	PDLIM2		0.43483049579348104	-0.08950250723240119
colon	PINX1		0.008159381081004696	-0.39898153846153844
colon	POLR3D		0.5610719112423226	-0.05801919191919191
colon	PPP2CB		4.5884420743667015e-05	-0.45425781099324974
colon	PPP2R2A		1.3342915423488701e-09	-0.47848355834136924
colon	PPP3CC			-0.25658333333333333
colon	R3HCC1		0.12453558996688	-0.18763506787330317
colon	RBPMS		0.136239885974814	0.1356146094503376
colon	SARAF		0.11350906939797474	-0.26676785714285717
colon	SH2D4A		2.5430189810509094e-06	-0.4775671648987464
colon	SLC39A14		2.9565088913966832e-05	-0.3147538090646095
colon	SORBS3		0.5600562807344255	0.05048461909353913
colon	TTI2		0.5274562042822665	0.14023368055555555
colon	VPS37A		0.03200947476434513	-0.17916677740863793
colon	XPO7		2.1189639802909925e-09	-0.319683269045323
hnscc	ADAMDEC1		0.7495838883178867	-0.08831738269985578
hnscc	AGPAT5		0.0009400114786422118	-0.2749375444586484
hnscc	ANGPT2		0.8061876004941239	0.05070107958958303
hnscc	ARHGEF10		0.02419027189596334	-0.18953002694262722
hnscc	ASAH1		0.07198171107116205	-0.20218564401940142
hnscc	ATP6V1B2		0.024835424963180613	-0.14148714162420717
hnscc	BIN3		0.8222753844455097	-0.026597385091040593
hnscc	BLK		0.3251348618880886	0.2582003640527617
hnscc	BMP1		0.03279632422652852	0.3986445517550443
hnscc	BNIP3L		0.775535600724408	-0.141000129634552
hnscc	CDCA2		0.32409111381512024	-0.18488202500646977
hnscc	CHMP7		1.643627188008241e-06	-0.2328207625381964
hnscc	CLU		0.9610543706464275	0.009705734833655555
hnscc	CNOT7		8.944493264841774e-06	-0.19871820343751168
hnscc	CTSB		0.5872945827300535	0.07561549305220794
hnscc	DCTN6		0.08497942660273018	-0.10732318771035665
hnscc	DEFA3		0.1765069018829981	-0.6893249911925956
hnscc	DEFA4		0.5872945827300535	-0.13500005261929005
hnscc	DLC1			0.24084739173703262
hnscc	DOCK5		0.057337020016086884	-0.1514742442122916
hnscc	DOK2		0.025281867235376614	-0.3080020794903042
hnscc	ERI1		1.5669375838931188e-06	-0.35191441966083303
hnscc	ERICH1		0.00010557455104492154	-0.4739227050216783
hnscc	FAM160B2		0.07198171107116205	-0.17951242055387695
hnscc	FDFT1		0.07139737828748464	-0.3403970488356336
hnscc	GSR		0.07198171107116205	-0.22557324663073786
hnscc	GTF2E2		0.020316385183894073	-0.2167934351077463
hnscc	HMBOX1		0.13222031464913242	-0.19468350948931246
hnscc	KBTBD11		0.03232682094769784	-0.1903846101663227
hnscc	KCTD9		0.604479074437578	-0.060696026736042796
hnscc	KIF13B		3.6767727857806526e-05	-0.3638382813217689
hnscc	LOXL2		0.28741713833659643	0.19325999083640966
hnscc	LPL		0.872964780079041	-0.028402672344711277
hnscc	LZTS1		0.9867631849894134	-0.0019959482505562676
hnscc	MAK16		0.872964780079041	-0.017340073396837852
hnscc	MFHAS1		0.8296124746070355	-0.04291725888424125
hnscc	MSR1		0.8483078069475443	-0.028849062274215242
hnscc	MSRA		0.0007388668549353032	-0.322897157308617
hnscc	MTMR9		0.02857565771201981	-0.10750827308725519
hnscc	MYOM2		0.9610543706464275	0.020866054082642194
hnscc	NAT1		0.045430270975838107	-0.1444198710570639
hnscc	NEFL		0.22380829586574086	-0.3685981941180323
hnscc	NEIL2		0.025605306104389467	-0.27831278292574524
hnscc	NUDT18		0.6335493013288548	0.04837277656732297
hnscc	PBK		0.194599234190384	-0.19563452092844713
hnscc	PDGFRL		0.13766368203105395	0.33230360775572976
hnscc	PDLIM2		0.045430270975838107	-0.18786421602044356
hnscc	PEBP4		0.21122724456456876	-0.35109787014288685
hnscc	PINX1		1.529110882782514e-05	-0.5133360399584284
hnscc	PNMA2		0.8048868197415671	0.06619466822187547
hnscc	POLR3D		0.08497942660273018	-0.10687831656863622
hnscc	PPP2CB		0.0021691317831374797	-0.25241934908907027
hnscc	PPP2R2A		0.0021691317831374797	-0.24424607558469447
hnscc	PPP3CC		0.0002506036442289193	-0.2657887884990764
hnscc	PSD3		0.4404667066676494	-0.08543896998982348
hnscc	R3HCC1		0.057337020016086884	-0.15871070710444357
hnscc	RBPMS		0.3384351848397823	-0.08773754093306962
hnscc	SARAF		0.02732114705925747	-0.3067532142720282
hnscc	SH2D4A		0.018277710018779182	-0.3045061436372478
hnscc	SLC39A14		0.28741713833659643	-0.12615170584360413
hnscc	SLC7A2		0.5972055629129561	-0.15602702287835513
hnscc	SORBS3		0.014910807255776027	-0.1899574350864306
hnscc	STC1		0.25625434336143826	-0.32083370958449464
hnscc	TDRP		0.01684125446267515	-0.39866042774709953
hnscc	TNKS		0.2729765497159518	-0.23660977960950547
hnscc	TTI2		0.4799493284146207	0.06346575471616944
hnscc	VPS37A		0.0010810661085138393	-0.16844086966907312
hnscc	WRN		0.025281867235376614	-0.2333049254571513
hnscc	XPO7		5.4488896470595305e-05	-0.2894584405328082
lscc	ADAMDEC1	NP_055294.1|NP_001138743.1	0.8714586851223907	0.0845224101479915
lscc	AGPAT5	NP_060831.2	0.009679796630433557	-0.5787296551724139
lscc	ANGPT2	NP_001112359.1|NP_001138.1	0.2811849138301654	0.39526696551724094
lscc	ARHGEF10	NP_001295082.1	0.2811849138301654	-0.24554131034482785
lscc	ASAH1	NP_004306.3|NP_808592.2|NP_001350672.1|NP_001120977.1	0.6953069344892574	-0.1460835862068972
lscc	ATP6V1B2	NP_001684.2	0.000201266511716612	-0.5012026896551726
lscc	BIN3	NP_061158.1|NP_001349975.1	0.8612387640617207	-0.03988075862068985
lscc	BMP1	NP_006120.1|NP_001190.1	0.6213039571195065	-0.29504648275862067
lscc	BNIP3L	NP_001317420.1|NP_004322.1	0.7947932367667182	-0.10464524959742347
lscc	CDCA2	NP_689775.2|NP_001304835.1|NP_001304836.1	0.7228550108703247	-0.13367095959595962
lscc	CHMP7	NP_689485.1|NP_001304828.1|NP_001350112.1	2.417484843120056e-10	-0.8706813103448279
lscc	CLU	NP_001822.3	0.467319244626431	0.38409096551724153
lscc	CNOT7	NP_001309022.1|NP_001309019.1|NP_001309023.1|NP_001309016.1|NP_001309024.1|NP_001309027.1	0.019972167311492282	-0.32962048275862055
lscc	CTSB	NP_001899.1|NP_001304166.1	0.013862690571601376	-0.83961675862069
lscc	DCTN6	NP_006562.1	0.007758214226285897	-0.29768951724137926
lscc	DEFA3	NP_005208.1|NP_001289194.1|NP_001035965.1	0.8061321466159359	-0.22871910344827562
lscc	DEFA4	NP_001916.1	0.6213039571195065	-0.30260144827586216
lscc	DLC1	NP_001335010.1|NP_001303597.1|NP_006085.2|NP_001157743.1|NP_079043.3	0.9101523033245129	0.02277373584905673
lscc	DOCK5	NP_079216.4	0.013376026778348513	-0.5430968965517239
lscc	DOK2	NP_003965.2|NP_001304729.1	0.026432601420444804	-0.648617172413793
lscc	ERI1	NP_699163.2|NP_001341564.1|NP_001341565.1|NP_001341567.1	1.750420408055916e-08	-1.054425103448276
lscc	ERICH1	NP_997215.1|NP_001290029.1	0.005655172756164152	-0.7235720689655174
lscc	FAM160B2	NP_073586.5|NP_001341179.1|NP_001341180.1	0.00019580032567527027	-0.8670294482758623
lscc	FDFT1	NP_001274671.1|NP_001274679.1|NP_001274673.1|NP_001274680.1|NP_001274685.1	0.14046481722185794	-0.8326355862068964
lscc	GSR	NP_000628.2|NP_001182031.1|NP_001182032.1|NP_001182033.1	0.9562617098726125	0.02135572413793102
lscc	GTF2E2	NP_002086.1|NP_001335282.1	0.049902654264081366	-0.4138013103448276
lscc	HMBOX1	NP_001311312.1|NP_001317427.1|NP_001311314.1|NP_001311318.1|NP_001311320.1|NP_001311322.1|NP_001129198.1|NP_001311315.1|NP_001311316.1|NP_001311324.1	0.04089616433062606	-0.5597622068965519
lscc	KBTBD11	NP_055682.1	0.9101523033245129	-0.024361931034482698
lscc	KCTD9	NP_060104.2	0.3892441548711218	-0.18065972413793102
lscc	KIF13B	NP_056069.2	3.723769524464719e-05	-0.7889969655172413
lscc	LOXL2	NP_002309.1	0.4197668177549542	-0.6235560000000001
lscc	LPL	NP_000228.1	0.9733365585996946	-0.00853737931034515
lscc	LZTS1	NP_001349813.1	0.25113677126326495	-0.3990400689655174
lscc	MAK16	NP_115898.2	0.6213039571195065	0.13572648275862076
lscc	MFHAS1	NP_004216.2	0.6213039571195065	-0.19089299790356395
lscc	MSR1	NP_619729.1|NP_001350673.1|NP_619730.1|NP_002436.1	0.2811849138301654	-0.32049862068965507
lscc	MSRA	NP_036463.1|NP_001129143.1|NP_001129142.1|NP_001186658.1	0.0007214481068496442	-0.7304091724137929
lscc	MTMR7	NP_004677.3	0.04817658030907437	-0.4976006896551725
lscc	MTMR9	NP_056273.2	0.0010479124277911413	-0.434502
lscc	NAT1	NP_000653.3|NP_001153647.1	8.611293196978473e-06	-1.1263213793103448
lscc	NEFL	NP_006149.2	0.6322729764990721	0.4851554482758622
lscc	NEIL2	NP_001129218.1|NP_001129219.1|NP_001129220.1	0.049902654264081366	-0.5505928774928777
lscc	NUDT18	NP_079091.3	2.2385804091391178e-05	-0.7091675862068966
lscc	PBK	NP_001349969.1|NP_001265874.1	0.5819999617744611	-0.3029675172413794
lscc	PCM1	NP_001339564.1|NP_001302436.1|NP_001339562.1|NP_001339572.1|NP_001339586.1|NP_001339588.1	1.9908379557828516e-05	-0.7353448275862071
lscc	PCM1	NP_001339565.1|NP_001339566.1|NP_001339569.1|NP_001339573.1|NP_001339568.1|NP_001302437.1|NP_001339571.1|NP_001339583.1	0.011750372831596427	-0.8052054507337527
lscc	PDGFRL	NP_006198.1	0.25110440813780655	-0.6943879999999996
