Name	NCBI_ID	start_bp	end_bp	cnv_type	num_patients_with_cnv	cancer_type_total_patients	cancer
OR4F21	441308	166085.0	167023.0	gain	19	122	brca
OR4F21	441308	166085.0	167023.0	loss	56	122	brca
RPL23AP53	644128	208343.0	232317.0	gain	19	122	brca
RPL23AP53	644128	208343.0	232317.0	loss	56	122	brca
ZNF596	169270	232136.0	247339.0	gain	19	122	brca
ZNF596	169270	232136.0	247339.0	loss	56	122	brca
FAM87A	157693	375930.0	383173.0	gain	19	122	brca
FAM87A	157693	375930.0	383173.0	loss	56	122	brca
FBXO25	26260	406957.0	477966.0	gain	19	122	brca
FBXO25	26260	406957.0	477966.0	loss	56	122	brca
TDRP	157695	489945.0	545779.0	gain	19	122	brca
TDRP	157695	489945.0	545779.0	loss	56	122	brca
ERICH1	157697	614745.0	731223.0	gain	19	122	brca
ERICH1	157697	614745.0	731223.0	loss	56	122	brca
DLGAP2	9228	737627.0	1708475.0	gain	19	122	brca
DLGAP2	9228	737627.0	1708475.0	loss	56	122	brca
LOC401442	401442	738547.0	740373.0	gain	19	122	brca
LOC401442	401442	738547.0	740373.0	loss	56	122	brca
LOC286083	286083	1296033.0	1302606.0	gain	19	122	brca
LOC286083	286083	1296033.0	1302606.0	loss	56	122	brca
DLGAP2-AS1	100507435	1565508.0	1621663.0	gain	19	122	brca
DLGAP2-AS1	100507435	1565508.0	1621663.0	loss	56	122	brca
CLN8	2055	1753058.0	1786569.0	gain	18	122	brca
CLN8	2055	1753058.0	1786569.0	loss	57	122	brca
CLN8-AS1	101927752	1761962.0	1764583.0	gain	18	122	brca
CLN8-AS1	101927752	1761962.0	1764583.0	loss	57	122	brca
MIR3674	100500912	1801124.0	1801191.0	gain	18	122	brca
MIR3674	100500912	1801124.0	1801191.0	loss	57	122	brca
MIR596	693181	1817230.0	1817306.0	gain	18	122	brca
MIR596	693181	1817230.0	1817306.0	loss	57	122	brca
ARHGEF10	9639	1823299.0	1958640.0	gain	18	122	brca
ARHGEF10	9639	1823299.0	1958640.0	loss	57	122	brca
KBTBD11-AS1	101928058	1971178.0	1973344.0	gain	18	122	brca
KBTBD11-AS1	101928058	1971178.0	1973344.0	loss	57	122	brca
KBTBD11-OT1	104266957	1971396.0	1976443.0	gain	18	122	brca
KBTBD11-OT1	104266957	1971396.0	1976443.0	loss	57	122	brca
KBTBD11	9920	1973676.0	2006935.0	gain	18	122	brca
KBTBD11	9920	1973676.0	2006935.0	loss	57	122	brca
MYOM2	9172	2045045.0	2145455.0	gain	18	122	brca
MYOM2	9172	2045045.0	2145455.0	loss	57	122	brca
MIR7160	102465695	2076588.0	2076639.0	gain	18	122	brca
MIR7160	102465695	2076588.0	2076639.0	loss	57	122	brca
LINC03021	101927815	2530091.0	2728450.0	gain	18	122	brca
LINC03021	101927815	2530091.0	2728450.0	loss	57	122	brca
CSMD1	64478	2935360.0	4994913.0	gain	18	122	brca
CSMD1	64478	2935360.0	4994913.0	loss	57	122	brca
MCPH1-DT	100287015	6403555.0	6406547.0	gain	18	122	brca
MCPH1-DT	100287015	6403555.0	6406547.0	loss	56	122	brca
MCPH1	79648	6406626.0	6648507.0	gain	18	122	brca
MCPH1	79648	6406626.0	6648507.0	loss	56	122	brca
ANGPT2	285	6499631.0	6563244.0	gain	18	122	brca
ANGPT2	285	6499631.0	6563244.0	loss	56	122	brca
MCPH1-AS1	100507530	6615602.0	6708208.0	gain	18	122	brca
MCPH1-AS1	100507530	6615602.0	6708208.0	loss	56	122	brca
MIR8055	102465861	6622123.0	6622219.0	gain	18	122	brca
MIR8055	102465861	6622123.0	6622219.0	loss	56	122	brca
AGPAT5	55326	6708641.0	6761502.0	gain	18	122	brca
AGPAT5	55326	6708641.0	6761502.0	loss	57	122	brca
MIR4659A	100616348	6745163.0	6745243.0	gain	18	122	brca
MIR4659A	100616348	6745163.0	6745243.0	loss	57	122	brca
MIR4659B	100616372	6745167.0	6745239.0	gain	18	122	brca
MIR4659B	100616372	6745167.0	6745239.0	loss	57	122	brca
XKR5	389610	6808516.0	6835523.0	gain	18	122	brca
XKR5	389610	6808516.0	6835523.0	loss	57	122	brca
GS1-24F4.2	100652791	6835553.0	6842453.0	gain	18	122	brca
GS1-24F4.2	100652791	6835553.0	6842453.0	loss	57	122	brca
DEFB1	1672	6870591.0	6877935.0	gain	18	122	brca
DEFB1	1672	6870591.0	6877935.0	loss	57	122	brca
DEFA6	1671	6924696.0	6926075.0	gain	18	122	brca
DEFA6	1671	6924696.0	6926075.0	loss	58	122	brca
DEFA4	1669	6935819.0	6938305.0	gain	18	122	brca
DEFA4	1669	6935819.0	6938305.0	loss	58	122	brca
DEFA8P	449491	6950725.0	6951598.0	gain	18	122	brca
DEFA8P	449491	6950725.0	6951598.0	loss	58	122	brca
DEFA9P	449492	6959288.0	6960160.0	gain	18	122	brca
DEFA9P	449492	6959288.0	6960160.0	loss	58	122	brca
DEFA10P	449493	6968140.0	6969112.0	gain	18	122	brca
DEFA10P	449493	6968140.0	6969112.0	loss	58	122	brca
DEFA1	1667	6977648.0	6980091.0	gain	18	122	brca
DEFA1	1667	6977648.0	6980091.0	loss	58	122	brca
DEFT1P	170949	6987177.0	6989720.0	gain	18	122	brca
DEFT1P	170949	6987177.0	6989720.0	loss	58	122	brca
DEFA1B	728358	6996765.0	6999197.0	gain	18	122	brca
DEFA1B	728358	6996765.0	6999197.0	loss	58	122	brca
DEFA3	1668	7015868.0	7018296.0	gain	18	122	brca
DEFA3	1668	7015868.0	7018296.0	loss	58	122	brca
DEFA11P	724068	7028600.0	7029488.0	gain	18	122	brca
DEFA11P	724068	7028600.0	7029488.0	loss	58	122	brca
DEFA5	1670	7055303.0	7056738.0	gain	18	122	brca
DEFA5	1670	7055303.0	7056738.0	loss	58	122	brca
LINC00965	349196	7260618.0	7263491.0	gain	18	122	brca
LINC00965	349196	7260618.0	7263491.0	loss	58	122	brca
FAM66B	100128890	7298743.0	7355362.0	gain	18	122	brca
FAM66B	100128890	7298743.0	7355362.0	loss	58	122	brca
DEFB109B	641517	7309534.0	7320095.0	gain	18	122	brca
DEFB109B	641517	7309534.0	7320095.0	loss	58	122	brca
USP17L1	401447	7332386.0	7333978.0	gain	18	122	brca
USP17L1	401447	7332386.0	7333978.0	loss	58	122	brca
