Database_ID	start_bp	end_bp	cnv_type	num_patients_with_cnv	cancer_type_total_patients	cancer
ENSG00000147364	406428	477967	gain	20	122	brca
ENSG00000147364	406428	477967	loss	47	122	brca
ENSG00000180190	489803	545781	gain	20	122	brca
ENSG00000180190	489803	545781	loss	47	122	brca
ENSG00000104714	614746	738106	gain	20	122	brca
ENSG00000104714	614746	738106	loss	47	122	brca
ENSG00000198010	737628	1708476	gain	19	122	brca
ENSG00000198010	737628	1708476	loss	47	122	brca
ENSG00000182372	1755778	1801711	gain	19	122	brca
ENSG00000182372	1755778	1801711	loss	47	122	brca
ENSG00000104728	1823926	1958641	gain	18	122	brca
ENSG00000104728	1823926	1958641	loss	48	122	brca
ENSG00000176595	1973677	2006936	gain	18	122	brca
ENSG00000176595	1973677	2006936	loss	48	122	brca
ENSG00000036448	2045046	2165552	gain	18	122	brca
ENSG00000036448	2045046	2165552	loss	48	122	brca
ENSG00000183117	2935353	4994972	gain	18	122	brca
ENSG00000183117	2935353	4994972	loss	47	122	brca
ENSG00000147316	6406592	6648508	gain	17	122	brca
ENSG00000147316	6406592	6648508	loss	47	122	brca
ENSG00000091879	6499632	6563409	gain	17	122	brca
ENSG00000091879	6499632	6563409	loss	47	122	brca
ENSG00000155189	6708642	6761503	gain	17	122	brca
ENSG00000155189	6708642	6761503	loss	48	122	brca
ENSG00000275591	6808517	6835524	gain	17	122	brca
ENSG00000275591	6808517	6835524	loss	48	122	brca
ENSG00000164825	6870592	6877936	gain	17	122	brca
ENSG00000164825	6870592	6877936	loss	48	122	brca
ENSG00000164822	6924697	6926076	gain	17	122	brca
ENSG00000164822	6924697	6926076	loss	48	122	brca
ENSG00000164821	6935820	6938306	gain	17	122	brca
ENSG00000164821	6935820	6938306	loss	48	122	brca
ENSG00000206047	6977649	6980092	gain	15	122	brca
ENSG00000206047	6977649	6980092	loss	48	122	brca
ENSG00000240247	6996766	6999198	gain	15	122	brca
ENSG00000240247	6996766	6999198	loss	48	122	brca
ENSG00000239839	7015869	7018297	gain	15	122	brca
ENSG00000239839	7015869	7018297	loss	48	122	brca
ENSG00000164816	7055304	7056739	gain	16	122	brca
ENSG00000164816	7055304	7056739	loss	49	122	brca
ENSG00000230549	7332387	7333979	gain	16	122	brca
ENSG00000230549	7332387	7333979	loss	49	122	brca
ENSG00000236125	7337115	7338707	gain	16	122	brca
ENSG00000236125	7337115	7338707	loss	49	122	brca
ENSG00000215372	7355517	7385558	gain	15	122	brca
ENSG00000215372	7355517	7385558	loss	52	122	brca
ENSG00000177257	7414855	7416863	gain	15	122	brca
ENSG00000177257	7414855	7416863	loss	52	122	brca
ENSG00000177243	7428888	7430348	gain	15	122	brca
ENSG00000177243	7428888	7430348	loss	52	122	brca
ENSG00000164871	7442684	7463674	gain	13	122	brca
ENSG00000164871	7442684	7463674	loss	53	122	brca
ENSG00000177023	7470308	7475082	gain	14	122	brca
ENSG00000177023	7470308	7475082	loss	52	122	brca
ENSG00000187082	7482504	7486400	gain	14	122	brca
ENSG00000187082	7482504	7486400	loss	52	122	brca
ENSG00000186599	7487679	7489593	gain	14	122	brca
ENSG00000186599	7487679	7489593	loss	52	122	brca
ENSG00000198129	7495911	7509311	gain	14	122	brca
ENSG00000198129	7495911	7509311	loss	52	122	brca
ENSG00000255251	7539627	7542450	gain	15	122	brca
ENSG00000255251	7539627	7542450	loss	52	122	brca
ENSG00000255378	7778591	7781413	gain	12	122	brca
ENSG00000255378	7778591	7781413	loss	46	122	brca
ENSG00000186572	7811720	7815716	gain	12	122	brca
ENSG00000186572	7811720	7815716	loss	46	122	brca
ENSG00000186562	7821004	7823880	gain	12	122	brca
ENSG00000186562	7821004	7823880	loss	46	122	brca
ENSG00000186579	7825139	7829053	gain	12	122	brca
ENSG00000186579	7825139	7829053	loss	46	122	brca
ENSG00000176782	7836436	7841242	gain	12	122	brca
ENSG00000176782	7836436	7841242	loss	42	122	brca
ENSG00000178287	7847876	7868867	gain	12	122	brca
ENSG00000178287	7847876	7868867	loss	42	122	brca
ENSG00000176797	7881392	7882663	gain	12	122	brca
ENSG00000176797	7881392	7882663	loss	47	122	brca
ENSG00000171711	7894677	7896716	gain	12	122	brca
ENSG00000171711	7894677	7896716	loss	46	122	brca
ENSG00000215356	7926337	7952413	gain	12	122	brca
ENSG00000215356	7926337	7952413	loss	46	122	brca
ENSG00000237038	7971661	7973253	gain	12	122	brca
ENSG00000237038	7971661	7973253	loss	46	122	brca
ENSG00000225327	7976393	7977985	gain	12	122	brca
ENSG00000225327	7976393	7977985	loss	46	122	brca
ENSG00000275342	8317736	8386439	gain	16	122	brca
ENSG00000275342	8317736	8386439	loss	48	122	brca
ENSG00000253958	8701937	8704096	gain	16	122	brca
ENSG00000253958	8701937	8704096	loss	48	122	brca
ENSG00000147324	8783354	8893630	gain	16	122	brca
ENSG00000147324	8783354	8893630	loss	48	122	brca
ENSG00000104626	9002147	9116746	gain	16	122	brca
ENSG00000104626	9002147	9116746	loss	48	122	brca
ENSG00000173281	9136255	9151574	gain	16	122	brca
ENSG00000173281	9136255	9151574	loss	48	122	brca
ENSG00000173273	9555912	9782346	gain	16	122	brca
ENSG00000173273	9555912	9782346	loss	48	122	brca
ENSG00000175806	10054292	10428891	gain	16	122	brca
ENSG00000175806	10054292	10428891	loss	48	122	brca
ENSG00000184647	10525532	10554166	gain	16	122	brca
ENSG00000184647	10525532	10554166	loss	48	122	brca
ENSG00000183638	10606349	10712187	gain	16	122	brca
ENSG00000183638	10606349	10712187	loss	48	122	brca
ENSG00000171060	10672628	10700590	gain	16	122	brca
ENSG00000171060	10672628	10700590	loss	48	122	brca
ENSG00000171056	10723768	10730511	gain	16	122	brca
ENSG00000171056	10723768	10730511	loss	48	122	brca
ENSG00000258724	10725399	10839847	gain	16	122	brca
ENSG00000258724	10725399	10839847	loss	48	122	brca
ENSG00000254093	10764961	10839884	gain	16	122	brca
ENSG00000254093	10764961	10839884	loss	48	122	brca
ENSG00000171044	10896045	11201833	gain	16	122	brca
ENSG00000171044	10896045	11201833	loss	48	122	brca
ENSG00000280273	11283481	11285068	gain	16	122	brca
ENSG00000280273	11283481	11285068	loss	48	122	brca
ENSG00000104643	11284816	11328146	gain	16	122	brca
ENSG00000104643	11284816	11328146	loss	48	122	brca
ENSG00000177710	11331012	11332360	gain	16	122	brca
ENSG00000177710	11331012	11332360	loss	48	122	brca
ENSG00000154319	11421476	11475908	gain	16	122	brca
ENSG00000154319	11421476	11475908	loss	48	122	brca
ENSG00000136573	11486894	11564599	gain	16	122	brca
ENSG00000136573	11486894	11564599	loss	48	122	brca
ENSG00000136574	11676959	11760002	gain	16	122	brca
ENSG00000136574	11676959	11760002	loss	48	122	brca
ENSG00000154328	11769639	11787345	gain	16	122	brca
ENSG00000154328	11769639	11787345	loss	47	122	brca
ENSG00000079459	11795573	11839304	gain	16	122	brca
ENSG00000079459	11795573	11839304	loss	48	122	brca
ENSG00000164733	11842524	11869533	gain	16	122	brca
ENSG00000164733	11842524	11869533	loss	48	122	brca
ENSG00000205884	11973937	11974599	gain	16	122	brca
ENSG00000205884	11973937	11974599	loss	48	122	brca
ENSG00000205883	11982256	11984590	gain	16	122	brca
ENSG00000205883	11982256	11984590	loss	48	122	brca
ENSG00000205882	11993174	12000752	gain	16	122	brca
ENSG00000205882	11993174	12000752	loss	48	122	brca
ENSG00000233050	12064389	12071747	gain	16	122	brca
ENSG00000233050	12064389	12071747	loss	45	122	brca
ENSG00000215343	12089338	12115516	gain	16	122	brca
ENSG00000215343	12089338	12115516	loss	45	122	brca
ENSG00000226430	12132417	12134099	gain	16	122	brca
ENSG00000226430	12132417	12134099	loss	45	122	brca
ENSG00000223443	12136435	12138849	gain	16	122	brca
ENSG00000223443	12136435	12138849	loss	44	122	brca
ENSG00000186523	12182096	12194133	gain	14	122	brca
ENSG00000186523	12182096	12194133	loss	40	122	brca
ENSG00000232948	12310962	12318316	gain	16	122	brca
ENSG00000232948	12310962	12318316	loss	45	122	brca
ENSG00000145002	12424411	12436406	gain	15	122	brca
ENSG00000145002	12424411	12436406	loss	37	122	brca
ENSG00000154359	12721906	12756073	gain	16	122	brca
ENSG00000154359	12721906	12756073	loss	49	122	brca
ENSG00000250305	12945642	13031503	gain	16	122	brca
ENSG00000250305	12945642	13031503	loss	49	122	brca
ENSG00000164741	13083361	13604610	gain	16	122	brca
ENSG00000164741	13083361	13604610	loss	50	122	brca
ENSG00000164743	13566869	13568288	gain	16	122	brca
ENSG00000164743	13566869	13568288	loss	50	122	brca
ENSG00000185053	14084845	15238431	gain	16	122	brca
ENSG00000185053	14084845	15238431	loss	50	122	brca
