,index,gain,neutral,loss,chromo,location
0,A1BG,42,44,22,19.0,58349335.0
1,A1BG-AS1,42,44,22,19.0,58351586.5
2,A1CF,18,52,38,10.0,50842542.0
3,A2M,61,41,6,12.0,9091946.5
4,A2M-AS1,60,42,6,12.0,9066926.0
5,A2ML1,60,42,6,12.0,8854811.0
6,A2MP1,61,41,6,12.0,9252175.0
7,A3GALT2,15,62,31,1.0,33313932.0
8,A4GALT,47,45,16,22.0,42706709.5
9,A4GNT,79,24,5,3.0,138128051.5
10,AA06,42,49,17,,
11,AAAS,38,61,9,12.0,53316160.0
12,AACS,24,68,16,12.0,125104383.5
13,AACSP1,6,29,73,5.0,178791648.0
14,AADAC,91,16,1,3.0,151821280.5
15,AADACL2,91,16,1,3.0,151747627.5
16,AADACL2-AS1,93,15,0,3.0,151839809.0
17,AADACL3,13,54,41,1.0,12722435.0
18,AADACL4,13,54,41,1.0,12655816.5
19,AADACP1,91,16,1,3.0,151777661.0
20,AADAT,4,38,66,4.0,170075960.5
21,AAED1,20,34,54,,
22,AAGAB,23,61,24,15.0,67227931.0
23,AAK1,65,42,1,2.0,69566173.0
24,AAMDC,31,58,19,11.0,77869770.5
25,AAMP,20,62,26,2.0,218267190.0
26,AANAT,59,45,4,17.0,76461734.0
27,AAR2,57,41,10,20.0,36253688.5
28,AARD,72,33,3,8.0,116941347.0
29,AARS,24,50,34,,
30,AARS2,42,51,15,6.0,44306039.0
31,AARSD1,45,52,11,17.0,42957512.0
32,AASDH,22,46,40,4.0,56362897.5
33,AASDHPPT,19,58,31,11.0,106087100.0
34,AASS,40,54,14,7.0,122108902.0
35,AATBC,7,52,49,21.0,43809162.5
36,AATF,42,51,15,17.0,37002912.5
37,AATK,67,33,8,17.0,81138354.0
38,AATK-AS1,64,37,7,,
39,ABALON,71,36,1,20.0,31722458.0
40,ABAT,21,64,23,16.0,8729585.5
41,ABCA1,19,36,53,9.0,104854580.5
42,ABCA10,60,41,7,17.0,69196030.0
43,ABCA11P,11,36,61,4.0,449782.0
44,ABCA12,21,59,28,2.0,215035084.0
45,ABCA13,52,38,18,7.0,48409477.5
46,ABCA17P,17,63,28,16.0,2382924.5
47,ABCA2,33,37,38,9.0,137018078.0
48,ABCA3,17,63,28,16.0,2308313.5
