,level_0,level_1,gain,neutral,loss,chromo,location
0,7SK,ENSG00000232512.2,15,89,18,,
1,7SK,ENSG00000249352.3,11,80,31,,
2,7SK,ENSG00000254144.2,66,49,7,,
3,7SK,ENSG00000260682.2,9,50,63,,
4,7SK,ENSG00000271765.1,13,86,23,,
5,7SK,ENSG00000271818.1,5,67,50,,
6,A1BG,ENSG00000121410.7,22,85,15,19.0,58349335.0
7,A1CF,ENSG00000148584.9,16,91,15,10.0,50842542.0
8,A2M,ENSG00000175899.10,19,88,15,12.0,9091946.5
9,A2ML1,ENSG00000166535.15,18,89,15,12.0,8854811.0
10,A2MP1,ENSG00000256069.3,20,89,13,12.0,9252175.0
11,A3GALT2,ENSG00000184389.8,12,78,32,1.0,33313932.0
12,A4GALT,ENSG00000128274.11,10,77,35,22.0,42706709.5
13,A4GNT,ENSG00000118017.3,25,92,5,3.0,138128051.5
14,AAAS,ENSG00000094914.8,12,89,21,12.0,53316160.0
15,AACS,ENSG00000081760.12,11,88,23,12.0,125104383.5
16,AACSP1,ENSG00000250420.4,16,83,23,5.0,178791648.0
17,AADAC,ENSG00000114771.8,35,83,4,3.0,151821280.5
18,AADACL2,ENSG00000197953.5,35,83,4,3.0,151747627.5
19,AADACL3,ENSG00000188984.7,4,70,48,1.0,12722435.0
20,AADACL4,ENSG00000204518.2,4,73,45,1.0,12655816.5
21,AADAT,ENSG00000109576.9,9,89,24,4.0,170075960.5
22,AAED1,ENSG00000158122.7,4,95,23,,
23,AAGAB,ENSG00000103591.8,5,97,20,15.0,67227931.0
24,AAK1,ENSG00000115977.14,19,92,11,2.0,69566173.0
25,AAMDC,ENSG00000087884.10,23,82,17,11.0,77869770.5
26,AAMP,ENSG00000127837.5,12,86,24,2.0,218267190.0
27,AANAT,ENSG00000129673.5,35,68,19,17.0,76461734.0
28,AAR2,ENSG00000131043.7,45,74,3,20.0,36253688.5
29,AARD,ENSG00000205002.3,79,41,2,8.0,116941347.0
30,AARS,ENSG00000090861.11,11,49,62,,
31,AARS2,ENSG00000124608.4,24,84,14,6.0,44306039.0
32,AARSD1,ENSG00000266967.2,20,65,37,17.0,42957512.0
33,AASDH,ENSG00000157426.9,9,95,18,4.0,56362897.5
34,AASDHPPT,ENSG00000149313.6,4,72,46,11.0,106087100.0
35,AASS,ENSG00000008311.10,34,78,10,7.0,122108902.0
36,AATF,ENSG00000108270.6,24,68,30,17.0,37002912.5
37,AATK,ENSG00000181409.7,34,68,20,17.0,81138354.0
38,ABAT,ENSG00000183044.7,41,72,9,16.0,8729585.5
39,ABCA1,ENSG00000165029.11,4,93,25,9.0,104854580.5
40,ABCA10,ENSG00000154263.13,41,61,20,17.0,69196030.0
41,ABCA11P,ENSG00000251595.3,6,82,34,4.0,449782.0
42,ABCA12,ENSG00000144452.10,10,94,18,2.0,215035084.0
43,ABCA13,ENSG00000179869.10,34,83,5,7.0,48409477.5
44,ABCA17P,ENSG00000238098.4,46,69,7,16.0,2382924.5
45,ABCA2,ENSG00000107331.12,10,91,21,9.0,137018078.0
46,ABCA3,ENSG00000167972.9,46,69,7,16.0,2308313.5
47,ABCA4,ENSG00000198691.7,12,87,23,1.0,94056991.0
48,ABCA5,ENSG00000154265.11,38,64,20,17.0,69285777.5
49,ABCA6,ENSG00000154262.8,41,62,19,17.0,69110298.5
50,ABCA7,ENSG00000064687.8,7,81,34,19.0,1052784.5
51,ABCA8,ENSG00000141338.9,43,60,19,17.0,68911340.5
52,ABCA9,ENSG00000154258.12,42,62,18,17.0,69017718.5
53,ABCB1,ENSG00000085563.10,33,81,8,7.0,87608170.0
54,ABCB10,ENSG00000135776.4,84,36,2,1.0,229537644.5
55,ABCB11,ENSG00000073734.8,12,96,14,2.0,168973411.0
56,ABCB4,ENSG00000005471.11,33,81,8,7.0,87441066.0
57,ABCB5,ENSG00000004846.12,35,81,6,7.0,20696122.5
58,ABCB6,ENSG00000115657.8,14,85,23,2.0,219214383.0
59,ABCB8,ENSG00000197150.8,29,80,13,7.0,151038102.0
60,ABCB9,ENSG00000150967.13,11,90,21,12.0,122951300.0
61,ABCC1,ENSG00000103222.14,44,62,16,16.0,16046325.5
62,ABCC10,ENSG00000124574.10,26,82,14,6.0,43438896.5
63,ABCC11,ENSG00000121270.11,22,53,47,16.0,48207239.0
64,ABCC12,ENSG00000140798.11,22,54,46,16.0,48118512.0
65,ABCC13,ENSG00000243064.4,22,82,18,21.0,14299480.0
66,ABCC2,ENSG00000023839.6,5,97,20,10.0,99817617.0
67,ABCC3,ENSG00000108846.11,40,64,18,17.0,50663515.0
68,ABCC4,ENSG00000125257.9,13,65,44,13.0,95160655.0
69,ABCC5,ENSG00000114770.12,30,82,10,3.0,183968936.5
70,ABCC6,ENSG00000091262.10,44,62,16,16.0,16186225.0
71,ABCC6P1,ENSG00000256340.4,44,62,16,16.0,18584745.0
72,ABCC8,ENSG00000006071.7,17,84,21,11.0,17434688.5
73,ABCC9,ENSG00000069431.6,23,91,8,12.0,21869965.0
74,ABCD2,ENSG00000173208.3,20,93,9,12.0,39584918.0
75,ABCD3,ENSG00000117528.7,13,86,23,1.0,94468527.5
76,ABCD4,ENSG00000119688.16,6,79,37,14.0,74294162.0
77,ABCE1,ENSG00000164163.6,8,94,20,4.0,145113906.0
78,ABCF1,ENSG00000204574.8,31,84,7,6.0,30584286.0
79,ABCF2,ENSG00000033050.3,28,78,16,7.0,151217501.5
80,ABCF3,ENSG00000161204.7,30,83,9,3.0,184190017.5
81,ABCG1,ENSG00000160179.14,21,90,11,21.0,42248466.5
82,ABCG2,ENSG00000118777.6,5,94,23,4.0,88160889.0
83,ABCG4,ENSG00000172350.5,3,71,48,11.0,119155852.5
84,ABCG5,ENSG00000138075.7,15,94,13,2.0,43825668.5
85,ABCG8,ENSG00000143921.6,15,93,14,2.0,43857465.0
86,ABHD1,ENSG00000143994.9,18,90,14,2.0,27127300.5
87,ABHD10,ENSG00000144827.4,26,87,9,3.0,111986189.0
88,ABHD11,ENSG00000106077.14,28,86,8,7.0,73737480.5
89,ABHD12,ENSG00000100997.14,34,85,3,20.0,25342788.5
90,ABHD12B,ENSG00000131969.10,16,76,30,14.0,50888511.5
91,ABHD13,ENSG00000139826.5,19,65,38,13.0,108226317.5
92,ABHD14A,ENSG00000248487.4,6,79,37,3.0,51976312.5
93,ABHD14B,ENSG00000114779.15,6,79,37,3.0,51975959.5
94,ABHD15,ENSG00000168792.4,30,60,32,17.0,29563792.0
95,ABHD16A,ENSG00000204427.7,39,76,7,6.0,31695155.5
96,ABHD16B,ENSG00000183260.5,47,73,2,20.0,63862243.0
97,ABHD17A,ENSG00000129968.11,4,83,35,19.0,1881178.5
98,ABHD17B,ENSG00000107362.9,8,91,23,9.0,71886691.5
99,ABHD17C,ENSG00000136379.7,7,95,20,15.0,80717652.5
100,ABHD2,ENSG00000140526.12,14,87,21,15.0,89144907.0
101,ABHD3,ENSG00000158201.5,10,84,28,18.0,21677840.5
102,ABHD4,ENSG00000100439.6,15,78,29,14.0,22605726.0
103,ABHD5,ENSG00000011198.3,8,90,24,3.0,43712239.5
104,ABHD6,ENSG00000163686.9,11,79,32,3.0,58266612.5
105,ABHD8,ENSG00000127220.5,18,92,12,19.0,17301183.5
106,ABI1,ENSG00000136754.12,25,80,17,10.0,26803840.0
107,ABI2,ENSG00000138443.10,6,89,27,2.0,203387983.5
108,ABI3,ENSG00000108798.4,36,66,20,17.0,49216818.0
109,ABI3BP,ENSG00000154175.12,32,83,7,3.0,100871335.5
110,ABL1,ENSG00000097007.13,7,87,28,9.0,130800345.5
111,ABL2,ENSG00000143322.15,84,37,1,1.0,179164507.0
112,ABLIM1,ENSG00000099204.14,5,94,23,10.0,114599587.0
113,ABLIM2,ENSG00000163995.14,6,80,36,4.0,8062071.0
114,ABLIM3,ENSG00000173210.15,18,87,17,5.0,149201012.5
115,ABO,ENSG00000175164.9,7,91,24,9.0,133263212.5
116,ABR,ENSG00000159842.10,9,52,61,17.0,1116628.0
117,ABRA,ENSG00000174429.3,79,42,1,8.0,106764863.5
118,ABRACL,ENSG00000146386.7,15,82,25,6.0,139036023.5
119,ABT1,ENSG00000146109.3,29,83,10,6.0,26598846.0
120,ABTB1,ENSG00000114626.13,25,89,8,3.0,127676930.5
121,ABTB2,ENSG00000166016.4,27,81,14,11.0,34254498.5
122,ACA59,ENSG00000251775.1,20,92,10,,
123,ACA59,ENSG00000252000.1,15,93,14,,
124,ACA59,ENSG00000252870.1,3,69,50,,
125,ACA64,ENSG00000238685.1,43,71,8,,
126,ACA64,ENSG00000238934.1,90,31,1,,
127,ACA64,ENSG00000239005.1,6,95,21,,
128,ACA64,ENSG00000252119.1,2,72,48,,
129,ACAA1,ENSG00000060971.13,13,90,19,3.0,38120185.5
130,ACAA2,ENSG00000167315.13,18,70,34,18.0,49798058.5
131,ACACA,ENSG00000132142.15,25,64,33,17.0,37245914.0
132,ACACB,ENSG00000076555.11,7,95,20,12.0,109192410.5
133,ACAD10,ENSG00000111271.10,6,92,24,12.0,111721581.5
134,ACAD11,ENSG00000240303.3,25,91,6,3.0,132609110.0
135,ACAD8,ENSG00000151498.7,4,69,49,11.0,134259675.0
136,ACAD9,ENSG00000177646.13,22,92,8,3.0,128897831.5
137,ACADL,ENSG00000115361.3,11,93,18,2.0,210206286.5
138,ACADM,ENSG00000117054.9,16,87,19,1.0,75755961.0
139,ACADS,ENSG00000122971.4,7,90,25,12.0,120732891.0
140,ACADSB,ENSG00000196177.8,8,94,20,10.0,123033634.5
141,ACADVL,ENSG00000072778.15,7,52,63,17.0,7221195.5
142,ACAN,ENSG00000157766.11,14,86,22,15.0,88839395.0
143,ACAP1,ENSG00000072818.7,7,54,61,17.0,7344003.0
144,ACAP2,ENSG00000114331.8,29,81,12,3.0,195358894.5
145,ACAP3,ENSG00000131584.14,31,43,48,1.0,1300999.5
146,ACAT1,ENSG00000075239.9,3,68,51,11.0,108132149.0
147,ACAT2,ENSG00000120437.7,12,83,27,6.0,159770578.5
148,ACBD3,ENSG00000182827.8,84,36,2,1.0,226165710.0
149,ACBD4,ENSG00000181513.10,21,66,35,17.0,45138390.5
150,ACBD5,ENSG00000107897.14,26,81,15,10.0,27218672.0
151,ACBD6,ENSG00000135847.5,85,36,1,1.0,180386303.5
152,ACBD7,ENSG00000176244.6,33,77,12,10.0,15082125.5
153,ACCS,ENSG00000110455.9,16,89,17,11.0,44075081.0
154,ACCSL,ENSG00000205126.2,16,89,17,11.0,44053979.0
155,ACD,ENSG00000102977.9,10,46,66,16.0,67659163.5
156,ACE,ENSG00000159640.10,46,62,14,17.0,63487720.5
157,ACER1,ENSG00000167769.4,12,91,19,19.0,6319877.0
158,ACER2,ENSG00000177076.4,7,79,36,9.0,19430757.0
159,ACER3,ENSG00000078124.7,22,81,19,11.0,76943832.0
160,ACHE,ENSG00000087085.9,27,74,21,7.0,100893484.0
161,ACIN1,ENSG00000100813.10,14,77,31,14.0,23077089.0
162,ACKR2,ENSG00000144648.9,10,88,24,3.0,42846363.0
163,ACKR3,ENSG00000144476.5,11,89,22,2.0,236575070.5
164,ACKR4,ENSG00000129048.6,25,91,6,3.0,132608118.5
165,ACKR5,ENSG00000121797.9,8,85,29,,
166,ACKR6,ENSG00000091622.11,5,52,65,,
167,ACLY,ENSG00000131473.12,20,67,35,17.0,41898729.5
168,ACMSD,ENSG00000153086.9,11,89,22,2.0,134870325.0
169,ACN9,ENSG00000196636.7,38,74,10,,
170,ACO1,ENSG00000122729.13,8,86,28,9.0,32419686.0
171,ACO2,ENSG00000100412.11,8,76,38,22.0,41499053.0
172,ACOT1,ENSG00000184227.3,8,76,38,14.0,73540469.5
173,ACOT11,ENSG00000162390.13,14,83,25,1.0,54590724.5
174,ACOT12,ENSG00000172497.4,10,84,28,5.0,81362087.5
175,ACOT13,ENSG00000112304.6,27,87,8,6.0,24686050.0
176,ACOT2,ENSG00000119673.10,8,76,38,14.0,73571639.0
177,ACOT4,ENSG00000177465.4,8,76,38,14.0,73594101.0
178,ACOT6,ENSG00000205669.2,6,78,38,14.0,73615416.5
179,ACOT7,ENSG00000097021.14,4,75,43,1.0,6329330.0
180,ACOT8,ENSG00000101473.12,46,72,4,20.0,45849563.0
