	gain_event	loss_event
TCGA-2W-A8YY-01	False	False
TCGA-4J-AA1J-01	False	False
TCGA-BI-A0VR-01	False	False
TCGA-BI-A0VS-01	True	True
TCGA-BI-A20A-01	False	False
TCGA-C5-A0TN-01	False	False
TCGA-C5-A1BE-01	False	True
TCGA-C5-A1BF-01	False	False
TCGA-C5-A1BI-01	False	False
TCGA-C5-A1BJ-01	False	False
TCGA-C5-A1BK-01	False	False
TCGA-C5-A1BL-01	False	False
TCGA-C5-A1BM-01	True	False
TCGA-C5-A1BN-01	False	False
TCGA-C5-A1BQ-01	True	False
TCGA-C5-A1M5-01	False	False
TCGA-C5-A1M6-01	False	True
TCGA-C5-A1M7-01	False	True
TCGA-C5-A1M8-01	False	True
TCGA-C5-A1M9-01	True	True
TCGA-C5-A1ME-01	False	True
TCGA-C5-A1MF-01	True	True
TCGA-C5-A1MH-01	True	False
TCGA-C5-A1MI-01	True	False
TCGA-C5-A1MJ-01	False	False
TCGA-C5-A1MK-01	False	True
TCGA-C5-A1ML-01	False	True
TCGA-C5-A1MN-01	False	True
TCGA-C5-A1MP-01	True	False
TCGA-C5-A2LS-01	False	False
TCGA-C5-A2LT-01	False	True
TCGA-C5-A2LV-01	True	True
TCGA-C5-A2LX-01	False	False
TCGA-C5-A2LY-01	False	True
TCGA-C5-A2LZ-01	True	False
TCGA-C5-A2M1-01	False	False
TCGA-C5-A2M2-01	False	False
TCGA-C5-A3HD-01	False	False
TCGA-C5-A3HE-01	False	False
TCGA-C5-A3HF-01	False	False
TCGA-C5-A3HL-01	False	False
TCGA-C5-A7CG-01	True	False
TCGA-C5-A7CH-01	True	False
TCGA-C5-A7CJ-01	False	False
TCGA-C5-A7CK-01	False	False
TCGA-C5-A7CL-01	False	False
TCGA-C5-A7CM-01	False	False
TCGA-C5-A7CO-01	False	False
TCGA-C5-A7UC-01	False	False
TCGA-C5-A7UE-01	False	False
TCGA-C5-A7UH-01	True	False
TCGA-C5-A7UI-01	False	True
TCGA-C5-A7X3-01	False	False
TCGA-C5-A7X5-01	True	True
TCGA-C5-A7X8-01	False	True
TCGA-C5-A7XC-01	True	True
TCGA-C5-A8XH-01	False	True
TCGA-C5-A8XI-01	True	False
TCGA-C5-A8XJ-01	False	False
TCGA-C5-A8XK-01	False	True
TCGA-C5-A8YQ-01	True	False
TCGA-C5-A8YR-01	False	False
TCGA-C5-A8YT-01	False	False
TCGA-C5-A8ZZ-01	True	False
TCGA-C5-A907-01	False	True
TCGA-DG-A2KH-01	False	True
TCGA-DG-A2KJ-01	True	True
TCGA-DG-A2KK-01	False	False
TCGA-DG-A2KL-01	False	False
TCGA-DG-A2KM-01	False	False
TCGA-DR-A0ZL-01	False	False
TCGA-DR-A0ZM-01	False	False
TCGA-DS-A0VK-01	False	True
TCGA-DS-A0VL-01	False	False
TCGA-DS-A0VM-01	True	False
TCGA-DS-A0VN-01	False	True
TCGA-DS-A3LQ-01	True	False
TCGA-DS-A5RQ-01	False	False
TCGA-DS-A7WF-01	False	False
TCGA-DS-A7WH-01	False	False
TCGA-DS-A7WI-01	False	True
TCGA-EA-A1QS-01	False	False
TCGA-EA-A1QT-01	False	True
TCGA-EA-A3HQ-01	True	False
TCGA-EA-A3HR-01	False	True
TCGA-EA-A3HS-01	False	False
TCGA-EA-A3HT-01	False	False
TCGA-EA-A3QD-01	False	False
TCGA-EA-A3QE-01	False	False
TCGA-EA-A3Y4-01	True	False
TCGA-EA-A410-01	False	False
TCGA-EA-A411-01	True	False
TCGA-EA-A439-01	False	True
TCGA-EA-A43B-01	False	True
TCGA-EA-A44S-01	False	True
TCGA-EA-A4BA-01	True	False
TCGA-EA-A50E-01	True	False
TCGA-EA-A556-01	True	True
TCGA-EA-A5FO-01	False	False
TCGA-EA-A5O9-01	True	False
TCGA-EA-A5ZD-01	False	False
TCGA-EA-A5ZE-01	False	False
TCGA-EA-A5ZF-01	False	False
TCGA-EA-A6QX-01	False	False
TCGA-EA-A78R-01	False	False
TCGA-EA-A97N-01	True	False
TCGA-EK-A2GZ-01	False	True
TCGA-EK-A2H0-01	True	True
TCGA-EK-A2H1-01	False	False
TCGA-EK-A2IP-01	True	False
TCGA-EK-A2PG-01	True	False
TCGA-EK-A2PI-01	False	True
TCGA-EK-A2PK-01	False	False
TCGA-EK-A2PL-01	False	False
TCGA-EK-A2PM-01	True	True
TCGA-EK-A2R7-01	False	False
TCGA-EK-A2R8-01	False	False
TCGA-EK-A2R9-01	False	False
TCGA-EK-A2RA-01	False	False
TCGA-EK-A2RB-01	False	False
TCGA-EK-A2RC-01	False	False
TCGA-EK-A2RD-01	False	False
TCGA-EK-A2RE-01	False	False
TCGA-EK-A2RJ-01	False	False
TCGA-EK-A2RK-01	True	True
TCGA-EK-A2RL-01	False	False
TCGA-EK-A2RM-01	False	True
TCGA-EK-A2RN-01	True	False
TCGA-EK-A2RO-01	True	True
TCGA-EK-A3GJ-01	False	True
TCGA-EK-A3GK-01	False	False
TCGA-EK-A3GM-01	False	True
TCGA-EK-A3GN-01	True	True
TCGA-EX-A1H5-01	False	False
TCGA-EX-A1H6-01	False	False
TCGA-EX-A3L1-01	False	True
TCGA-EX-A449-01	False	False
TCGA-EX-A69L-01	False	False
TCGA-EX-A69M-01	True	True
TCGA-EX-A8YF-01	True	False
TCGA-FU-A23K-01	False	True
TCGA-FU-A23L-01	True	True
TCGA-FU-A2QG-01	False	False
TCGA-FU-A3EO-01	False	False
TCGA-FU-A3HY-01	False	False
TCGA-FU-A3HZ-01	False	False
TCGA-FU-A3NI-01	True	True
TCGA-FU-A3TQ-01	False	False
TCGA-FU-A3TX-01	False	False
TCGA-FU-A3WB-01	False	True
TCGA-FU-A3YQ-01	True	False
TCGA-FU-A40J-01	False	False
TCGA-FU-A57G-01	True	True
TCGA-FU-A5XV-01	False	False
