protein	cancers	mean_simp_change	num_cancers
NUDCD3	brca_ccrcc_colon_hnscc_lscc_luad_ovarian	1	7
PURB	brca_colon_gbm_hnscc_lscc_luad_ovarian	1	7
ANKMY2	ccrcc_endometrial_gbm_lscc_luad_ovarian	1	6
YKT6	colon_gbm_hnscc_lscc_luad_ovarian	1	6
TMED4	brca_colon_luad_ovarian	1	4
CCM2	brca_gbm_lscc_luad	1	4
SNX8	brca_hnscc_lscc_luad	1	4
DNAAF5	colon_hnscc_lscc_luad	1	4
FOXK1	colon_hnscc_lscc_ovarian	1	4
AVL9	colon_lscc_luad_ovarian	1	4
RALA	brca_colon_lscc	1	3
BZW2	brca_colon_luad	1	3
HIBADH	brca_colon_luad	1	3
FKBP14	brca_hnscc_lscc	1	3
FKBP9	brca_hnscc_lscc	1	3
AHR	brca_hnscc_luad	1	3
FBXL18	brca_luad_ovarian	1	3
PSPH	brca_luad_ovarian	1	3
GGCT	colon_hnscc_luad	1	3
MICALL2	endometrial_hnscc_luad	1	3
TWISTNB	gbm_hnscc_lscc	1	3
GET4	gbm_luad_ovarian	1	3
KBTBD2	hnscc_lscc_luad	1	3
TAX1BP1	hnscc_lscc_luad	1	3
NUDT1	hnscc_lscc_ovarian	1	3
CHCHD2	brca_hnscc	1	2
C7orf25	brca_lscc	1	2
PMS2	brca_lscc	1	2
TTYH3	brca_ovarian	1	2
C7orf50	colon_hnscc	1	2
DDX56	colon_hnscc	1	2
RP9	colon_hnscc	1	2
TBRG4	colon_hnscc	1	2
SUN1	colon_lscc	1	2
COBL	endometrial_luad	1	2
ANLN	hnscc_lscc	1	2
DAGLB	hnscc_luad	1	2
TMEM106B	hnscc_luad	1	2
BRAT1	hnscc_ovarian	1	2
DPY19L1	lscc_luad	1	2
UPP1	lscc_luad	1	2
ZMIZ2	lscc_luad	1	2
FSCN1	lscc_ovarian	1	2
ACTB	brca	1	1
CYCS	brca	1	1
GRB10	brca	1	1
IGFBP3	brca	1	1
TNS3	brca	1	1
VPS41	brca	1	1
ADAP1	colon	1	1
OGDH	colon	1	1
PRR15	colon	1	1
CCZ1	hnscc	1	1
IGF2BP3	hnscc	1	1
INTS1	hnscc	1	1
MYO1G	hnscc	-1	1
TNRC18	hnscc	1	1
FAM126A	lscc	1	1
INHBA	lscc	1	1
MPP6	lscc	1	1
SCRN1	lscc	1	1
AGR2	luad	1	1
AGR3	luad	1	1
BLVRA	luad	1	1
CYTH3	luad	1	1
ICA1	luad	1	1
MACC1	luad	1	1
SKAP2	luad	-1	1
UMAD1	luad	1	1
ZNF316	luad	1	1
LANCL2	ovarian	1	1
WIPI2	ovarian	1	1
