cancer_type	protein	Database_ID	adj_p	change
brca	AARD	ENSG00000205002	0.007764118591029123	19.74372440362569
brca	ABRA	ENSG00000174429	0.556150772194162	-0.0009968294762639912
brca	AC087350.1	ENSG00000281527	0.2523709580461662	0.4170605664565261
brca	AC090154.1	ENSG00000278888	0.50580365349861	0.00785840075258328
brca	AC100821.1	ENSG00000276621	0.9938625547999228	
brca	AC105009.1	ENSG00000281855	0.4796331572049569	
brca	AC108925.1	ENSG00000279524	0.24312269038411183	0.0077942289460833205
brca	ADAM18	ENSG00000168619	0.15977462053146207	0.005304426356926498
brca	ADAM2	ENSG00000104755	0.20148240109175306	-0.20880249384627317
brca	ADAM32	ENSG00000197140	0.5855437327109955	0.046196420899582036
brca	ADAM9	ENSG00000168615	0.41715588644487783	3.434674434638225
brca	ADCK5	ENSG00000173137	1.932964998308352e-08	3.208283050004367
brca	ADCY8	ENSG00000155897	0.9766743285266914	0.0006661063391364477
brca	ADHFE1	ENSG00000147576	0.41987103456367736	0.2776842437650391
brca	ADRB3	ENSG00000188778	0.4748103387985794	-0.11219351493337029
brca	AGO2	ENSG00000123908	5.401114059544266e-08	3.3028392634044215
brca	ANGPT1	ENSG00000154188	0.9535892986601284	0.03463654190838561
brca	ANK1	ENSG00000029534	0.702488108112475	0.11641023183955446
brca	ANKRD46	ENSG00000186106	0.00570643140202222	1.8516796552960226
brca	ANXA13	ENSG00000104537	0.3002914085829064	-0.016168791181039435
brca	AP3M2	ENSG00000070718	0.41216689043917504	1.3891333341901673
brca	ARC	ENSG00000198576	0.9280140423444954	0.02501601656299085
brca	ARFGEF1	ENSG00000066777	5.506597490399299e-05	6.340256223848828
brca	ARHGAP39	ENSG00000147799	2.0707581513675353e-06	2.6801116129958618
brca	ARMC1	ENSG00000104442	1.9505172923796966e-05	6.99146819443523
brca	ASAP1	ENSG00000153317	0.5191476320284744	0.5899148374416026
brca	ASH2L	ENSG00000129691	0.1940700197181354	4.859873735707865
brca	ASPH	ENSG00000198363	0.9211199426312515	0.2558361103557729
brca	ATAD2	ENSG00000156802	0.0004290688346102947	9.28235450472128
brca	ATP6V0D2	ENSG00000147614	0.5855437327109955	-0.08173345811000887
brca	ATP6V1C1	ENSG00000155097	2.0575438815426757e-05	8.528042029865887
brca	ATP6V1H	ENSG00000047249	2.3324772057333555e-08	4.645401879619662
brca	AZIN1	ENSG00000155096	0.00013324448125214642	14.227591574362947
brca	BAALC	ENSG00000164929	0.13380465814130724	3.105090861558942
brca	BAG4	ENSG00000156735	0.2653177618247137	2.3612938393784093
brca	BHLHE22	ENSG00000180828	0.5599332295654205	0.21272128140753999
brca	BOP1	ENSG00000261236	6.627782503288249e-07	12.937129904569016
brca	BRF2	ENSG00000104221	0.04218246703976161	3.7959443441809384
brca	C8orf34	ENSG00000165084	0.40056573749714125	0.21390568770749896
brca	C8orf44	ENSG00000213865	2.895585457535516e-06	1.7344325107025762
brca	C8orf44-SGK3	ENSG00000270024	0.41601818631820114	0.003219789801344814
brca	C8orf76	ENSG00000189376	2.9175590510192835e-09	0.9105375050250395
brca	C8orf82	ENSG00000213563	0.00019659973865582614	4.533425641875575
brca	C8orf86	ENSG00000196166	0.7178390477331478	-0.0064653977179929805
brca	C8orf88	ENSG00000253250	0.11717315460412477	-0.7658763638185149
brca	C8orf89	ENSG00000274443	0.2510910601052796	0.08679934675288875
brca	CA1	ENSG00000133742	0.42782931278349384	0.004893326029429877
brca	CA13	ENSG00000185015	0.1379122224149327	0.39841797066675877
brca	CA2	ENSG00000104267	0.25364225572966315	-39.430471206060055
brca	CA3	ENSG00000164879	0.22193227945449723	1.7297037278842367
brca	CA8	ENSG00000178538	0.66724565904901	0.46967856065239744
brca	CALB1	ENSG00000104327	0.3374044770470048	0.03179467813445356
brca	CCDC166	ENSG00000255181	0.007764118591029123	0.07107032407517326
brca	CCNE2	ENSG00000175305	0.0037940028060723455	2.7005284445088975
brca	CDH17	ENSG00000079112	0.0800484773022356	-0.018995974965124347
brca	CEBPD	ENSG00000221869	0.16101900395257032	4.384316172168846
brca	CHCHD7	ENSG00000170791	0.07236379013810539	4.1362496953422
brca	CHD7	ENSG00000171316	0.00012328143833456614	1.4023120989772293
brca	CHMP4C	ENSG00000164695	0.02753568731231076	5.635881788636423
brca	CHRAC1	ENSG00000104472	1.2680560494582183e-06	4.191156683128138
brca	CHRNA6	ENSG00000147434	0.03650038916836296	-0.15034782946985276
brca	CHRNB3	ENSG00000147432	0.820484751132095	-0.0012407425387894661
brca	CLVS1	ENSG00000177182	0.4748103387985794	0.030514399581677856
brca	CNBD1	ENSG00000176571	0.48522724451734633	-0.005612380727538457
brca	CNGB3	ENSG00000170289	0.7246512316176974	-0.00377925676517106
brca	COL14A1	ENSG00000187955	0.00892250581077113	-9.270191089365246
brca	COL22A1	ENSG00000169436	0.06155327122489869	1.8563393352142197
brca	COLEC10	ENSG00000184374	0.6083299791522451	0.02066079163571677
brca	COMMD5	ENSG00000170619	1.1971500577815154e-07	5.388904530554179
brca	COPS5	ENSG00000121022	2.33503990346158e-10	5.291034022918527
brca	COX6C	ENSG00000164919	0.3374044770470048	102.79061621944831
brca	CPA6	ENSG00000165078	0.7378599715726554	-0.22238192897077314
brca	CPNE3	ENSG00000085719	0.012647289112761593	8.130959588851336
brca	CPQ	ENSG00000104324	0.04587344120205155	4.14769447193474
brca	CPSF1	ENSG00000071894	5.808238502529035e-07	11.088914646233384
brca	CRH	ENSG00000147571	0.48068488054659536	0.020071296737379292
brca	CRISPLD1	ENSG00000121005	0.12906747094843285	20.215182927448787
brca	CSMD3	ENSG00000164796	0.30314518989785594	0.02326892161933031
brca	CSPP1	ENSG00000104218	7.2463710907768e-07	2.487613304465643
brca	CTHRC1	ENSG00000164932	0.9890109430472295	0.11750428484541686
brca	CYC1	ENSG00000179091	1.4887917584109004e-08	43.02627675903095
brca	CYHR1	ENSG00000187954	5.137005200595306e-09	6.003698060038628
brca	CYP11B1	ENSG00000160882	0.5139658976838417	-0.0071953057261899345
brca	CYP11B2	ENSG00000179142	0.8383638791241437	0.0001260622676733631
brca	CYP7A1	ENSG00000167910	0.35019680187104735	0.0332550202386758
brca	CYP7B1	ENSG00000172817	0.7788645369862612	0.15299576645938773
brca	DCAF13	ENSG00000164934	1.2634894023668588e-05	5.1679749435445
brca	DCAF4L2	ENSG00000176566	0.357700082659729	0.23953232731407864
brca	DCSTAMP	ENSG00000164935	0.7788645369862612	-0.02717666397771179
brca	DDHD2	ENSG00000085788	0.217962703763177	2.9803144844809646
brca	DECR1	ENSG00000104325	0.0005801518365567241	6.272972196599806
brca	DENND3	ENSG00000105339	0.007058359833642277	0.7770729789574111
brca	DEPTOR	ENSG00000155792	0.50580365349861	1.4887833429841226
brca	DERL1	ENSG00000136986	0.00010486763392183791	6.3926649774699165
brca	DGAT1	ENSG00000185000	2.35266671875496e-08	5.730062157663091
brca	DKK4	ENSG00000104371	0.3607136601551133	-0.289509273457552
brca	DNAJC5B	ENSG00000147570	0.09004530649012941	0.5511417538111223
brca	DPY19L4	ENSG00000156162	0.013584725756013102	1.9897345468255523
brca	DPYS	ENSG00000147647	0.6145941199724245	-0.007728878092163924
brca	DSCC1	ENSG00000136982	0.00034430498326778894	3.1295176544813765
brca	E2F5	ENSG00000133740	1.2670541781466523e-05	2.3750273477712147
brca	EBAG9	ENSG00000147654	7.024746484401839e-05	3.6943368907288434
brca	EEF1D	ENSG00000104529	2.9657978834893315e-06	28.815033548659464
brca	EFCAB1	ENSG00000034239	0.9518723868895597	-0.004041286226859758
brca	EFR3A	ENSG00000132294	0.29107403061987663	2.2621009686533284
brca	EIF3E	ENSG00000104408	0.0019507264155832736	24.987873045013743
brca	EIF3H	ENSG00000147677	0.2772239198948961	7.564154947088582
brca	EIF4EBP1	ENSG00000187840	0.0012772452862652745	43.65013569141651
brca	EMC2	ENSG00000104412	1.3017368286987472e-05	6.213627066404333
brca	ENPP2	ENSG00000136960	0.412734510657428	-1.9720871913582974
brca	ENY2	ENSG00000120533	5.202614920361616e-08	5.473459223391215
brca	EPPK1	ENSG00000261150	0.08721517695123844	1.622041984972023
brca	ERICH5	ENSG00000177459	0.3182808860025707	0.14997010138272726
brca	ERLIN2	ENSG00000147475	0.7734789777553062	1.0144690545467938
brca	ESRP1	ENSG00000104413	0.00013716626783075305	11.611321573128897
brca	EXOSC4	ENSG00000178896	5.908322699303152e-07	13.042268549375317
brca	EXT1	ENSG00000182197	0.012647289112761593	1.4284227552071922
brca	EYA1	ENSG00000104313	0.16609142517302974	0.3730777449053746
brca	FABP12	ENSG00000197416	0.18028398295862919	0.012326249234999143
brca	FABP4	ENSG00000170323	0.34600986331050554	-21.822376626725628
brca	FABP5	ENSG00000164687	0.36061312343040547	7.153559356007438
brca	FABP9	ENSG00000205186	0.5828510238863968	-0.005726665022847495
brca	FAM110B	ENSG00000169122	0.17245101662239173	0.9616144711089882
brca	FAM135B	ENSG00000147724	0.19046146810079298	0.34640928681986977
brca	FAM83A	ENSG00000147689	0.5725338018845135	-0.4494753736640883
brca	FAM83H	ENSG00000180921	2.0958063325520736e-06	10.01990850999391
brca	FAM91A1	ENSG00000176853	0.08361647517044844	2.891322185615044
brca	FBXL6	ENSG00000182325	7.727919418783224e-09	5.800585511466131
brca	FBXO32	ENSG00000156804	0.3182808860025707	4.829095108338416
brca	FBXO43	ENSG00000156509	0.0024101370219229423	0.357162996390848
brca	FER1L6	ENSG00000214814	0.40056573749714125	-0.04206193113024132
brca	FGFR1	ENSG00000077782	0.218592122689281	3.938215934724859
brca	FNTA	ENSG00000168522	0.009347991451616909	2.3331659352267575
brca	FOXH1	ENSG00000160973	0.007764118591029123	0.17889655608146116
brca	FSBP	ENSG00000265817	0.4796331572049569	
brca	FZD6	ENSG00000164930	0.0014304377723040242	8.830437132796002
brca	GDAP1	ENSG00000104381	0.875690151360322	-0.5793848777017772
brca	GDF6	ENSG00000156466	0.50580365349861	0.05805770394007487
brca	GEM	ENSG00000164949	0.003843375534275644	-4.752558134628529
brca	GGH	ENSG00000137563	0.00017432483963208544	8.597603484967264
brca	GINS4	ENSG00000147536	0.00294029820913897	1.3799662610749301
brca	GLI4	ENSG00000250571	3.828602830429785e-07	2.7524466455968324
brca	GML	ENSG00000104499	0.3525864040729618	-0.003971545786662503
brca	GOLGA7	ENSG00000147533	0.32638990518606087	3.792985642322787
brca	GOT1L1	ENSG00000169154	0.5363274557308914	-0.030867900102696716
brca	GPAA1	ENSG00000197858	7.727919418783224e-09	21.232767066832068
brca	GPIHBP1	ENSG00000277494	0.6891662680881376	-0.1681807494430858
brca	GPR20	ENSG00000204882	0.3517635721772312	0.07623701141862751
brca	GPT	ENSG00000167701	0.08452894361571858	1.3445880147920426
brca	GRHL2	ENSG00000083307	0.041272763861144146	2.316793904621276
brca	GRINA	ENSG00000178719	3.1533508185386717e-09	48.91165402547303
brca	GSDMC	ENSG00000147697	0.11522520863991377	1.9436968806247614
brca	GSDMD	ENSG00000104518	6.880056998728158e-05	7.503277272302787
brca	HAS2	ENSG00000170961	0.255074305262869	-0.42627605135209334
brca	HEY1	ENSG00000164683	0.3118037262995038	0.7816568338615308
brca	HGH1	ENSG00000235173	8.785429041161793e-11	9.268927467879978
brca	HGSNAT	ENSG00000165102	0.17007799266273801	2.219676261451527
brca	HHLA1	ENSG00000132297	0.553552554783992	-0.000557141862786241
brca	HNF4G	ENSG00000164749	0.17764389908600778	0.23703919673739038
brca	HOOK3	ENSG00000168172	0.47198610505156713	0.43388064020732653
brca	HSF1	ENSG00000185122	2.772144426108272e-09	9.838924589242698
brca	HTRA4	ENSG00000169495	0.3516141384062421	0.20100241712457845
brca	IDO1	ENSG00000131203	0.044643730363454835	8.869585923213057
brca	IDO2	ENSG00000188676	0.3253655424816158	1.9214852076405475
brca	IKBKB	ENSG00000104365	0.9469822096116965	0.1981418832781685
brca	IL7	ENSG00000104432	0.8383638791241437	-0.016348529195960027
brca	IMPA1	ENSG00000133731	0.45756650311014746	0.5809850235452947
brca	INTS8	ENSG00000164941	7.862554167301673e-06	4.199478107320932
brca	JPH1	ENSG00000104369	0.00282759943976837	1.5729040317573464
brca	JRK	ENSG00000234616	2.2645314715031322e-08	2.4351599009582023
brca	KAT6A	ENSG00000083168	0.6238263528124328	0.5967027875884678
brca	KCNB2	ENSG00000182674	0.23533561391290655	0.0751888279609815
brca	KCNK9	ENSG00000169427	0.5213803510297734	0.016493049278500545
brca	KCNQ3	ENSG00000184156	0.48488390988043095	-0.13837358549064005
brca	KCNS2	ENSG00000156486	0.1698550036411288	-0.021687067436847715
brca	KCNV1	ENSG00000164794	0.8856799358190144	-0.0012779100491262033
brca	KHDRBS3	ENSG00000131773	0.66724565904901	0.12962761018615288
brca	KIFC2	ENSG00000167702	3.6470166896883744e-07	14.744862427762351
brca	KLF10	ENSG00000155090	0.9224052279810047	0.15552247481398496
brca	KLHL38	ENSG00000175946	0.012754704114907396	0.4320226742657627
brca	LACTB2	ENSG00000147592	0.007519468078466735	3.005772068613707
brca	LAPTM4B	ENSG00000104341	0.14816662812611392	26.71201794910734
brca	LETM2	ENSG00000165046	0.530806999160483	-0.11490644431388808
brca	LRP12	ENSG00000147650	0.8285414676656778	0.09674259949040831
brca	LRRC14	ENSG00000160959	2.3324772057333555e-08	3.720906924076634
brca	LRRC24	ENSG00000254402	0.05237812166646858	0.6897217835660623
brca	LRRC69	ENSG00000214954	0.00022013887484036761	0.38835920444311933
brca	LRRCC1	ENSG00000133739	0.005009720323173295	2.9895433522979857
brca	LSM1	ENSG00000175324	0.16864450592972763	9.300373200057873
brca	LY6D	ENSG00000167656	0.015039013755053381	7.578381357210506
brca	LY6E	ENSG00000160932	0.00025345087912675393	91.09713978514144
brca	LY6H	ENSG00000176956	0.38957391889302817	0.1670568884172462
brca	LY6K	ENSG00000160886	0.031099222529509078	3.515960922429055
brca	LY96	ENSG00000154589	0.7280404926065517	0.6806458219197893
brca	LYN	ENSG00000254087	0.02199262513398767	1.8042004767273205
brca	LYNX1	ENSG00000180155	0.0007812587969696548	2.474787088349034
brca	LYPD2	ENSG00000197353	0.7788645369862612	0.0020135472519553603
brca	LYPLA1	ENSG00000120992	0.02199262513398767	6.766181299872343
brca	MAF1	ENSG00000179632	2.772144426108272e-09	28.895824735906572
brca	MAFA	ENSG00000182759	0.20573616189830585	0.045618347808911185
brca	MAL2	ENSG00000147676	0.003707118403034796	45.68437280901175
brca	MAPK15	ENSG00000181085	0.00029261233166370825	9.557899669797482
brca	MATN2	ENSG00000132561	0.16649026625333319	1.622755198800399
brca	MCM4	ENSG00000104738	3.4253046742836627e-06	12.502819371591611
