NCBI_ID	start_bp	end_bp	cnv_type	num_patients_with_cnv	cancer_type_total_patients	cancer
441308	166085.0	167023.0	gain	19	122	brca
441308	166085.0	167023.0	loss	56	122	brca
644128	208343.0	232317.0	gain	19	122	brca
644128	208343.0	232317.0	loss	56	122	brca
169270	232136.0	247339.0	gain	19	122	brca
169270	232136.0	247339.0	loss	56	122	brca
157693	375930.0	383173.0	gain	19	122	brca
157693	375930.0	383173.0	loss	56	122	brca
26260	406957.0	477966.0	gain	19	122	brca
26260	406957.0	477966.0	loss	56	122	brca
157695	489945.0	545779.0	gain	19	122	brca
157695	489945.0	545779.0	loss	56	122	brca
157697	614745.0	731223.0	gain	19	122	brca
157697	614745.0	731223.0	loss	56	122	brca
9228	737627.0	1708475.0	gain	19	122	brca
9228	737627.0	1708475.0	loss	56	122	brca
401442	738547.0	740373.0	gain	19	122	brca
401442	738547.0	740373.0	loss	56	122	brca
286083	1296033.0	1302606.0	gain	19	122	brca
286083	1296033.0	1302606.0	loss	56	122	brca
100507435	1565508.0	1621663.0	gain	19	122	brca
100507435	1565508.0	1621663.0	loss	56	122	brca
2055	1753058.0	1786569.0	gain	18	122	brca
2055	1753058.0	1786569.0	loss	57	122	brca
101927752	1761962.0	1764583.0	gain	18	122	brca
101927752	1761962.0	1764583.0	loss	57	122	brca
100500912	1801124.0	1801191.0	gain	18	122	brca
100500912	1801124.0	1801191.0	loss	57	122	brca
693181	1817230.0	1817306.0	gain	18	122	brca
693181	1817230.0	1817306.0	loss	57	122	brca
9639	1823299.0	1958640.0	gain	18	122	brca
9639	1823299.0	1958640.0	loss	57	122	brca
101928058	1971178.0	1973344.0	gain	18	122	brca
101928058	1971178.0	1973344.0	loss	57	122	brca
104266957	1971396.0	1976443.0	gain	18	122	brca
104266957	1971396.0	1976443.0	loss	57	122	brca
9920	1973676.0	2006935.0	gain	18	122	brca
9920	1973676.0	2006935.0	loss	57	122	brca
9172	2045045.0	2145455.0	gain	18	122	brca
9172	2045045.0	2145455.0	loss	57	122	brca
102465695	2076588.0	2076639.0	gain	18	122	brca
102465695	2076588.0	2076639.0	loss	57	122	brca
101927815	2530091.0	2728450.0	gain	18	122	brca
101927815	2530091.0	2728450.0	loss	57	122	brca
64478	2935360.0	4994913.0	gain	18	122	brca
64478	2935360.0	4994913.0	loss	57	122	brca
100287015	6403555.0	6406547.0	gain	18	122	brca
100287015	6403555.0	6406547.0	loss	56	122	brca
79648	6406626.0	6648507.0	gain	18	122	brca
79648	6406626.0	6648507.0	loss	56	122	brca
285	6499631.0	6563244.0	gain	18	122	brca
285	6499631.0	6563244.0	loss	56	122	brca
100507530	6615602.0	6708208.0	gain	18	122	brca
100507530	6615602.0	6708208.0	loss	56	122	brca
102465861	6622123.0	6622219.0	gain	18	122	brca
102465861	6622123.0	6622219.0	loss	56	122	brca
55326	6708641.0	6761502.0	gain	18	122	brca
55326	6708641.0	6761502.0	loss	57	122	brca
100616348	6745163.0	6745243.0	gain	18	122	brca
100616348	6745163.0	6745243.0	loss	57	122	brca
100616372	6745167.0	6745239.0	gain	18	122	brca
100616372	6745167.0	6745239.0	loss	57	122	brca
389610	6808516.0	6835523.0	gain	18	122	brca
389610	6808516.0	6835523.0	loss	57	122	brca
100652791	6835553.0	6842453.0	gain	18	122	brca
100652791	6835553.0	6842453.0	loss	57	122	brca
1672	6870591.0	6877935.0	gain	18	122	brca
1672	6870591.0	6877935.0	loss	57	122	brca
1671	6924696.0	6926075.0	gain	18	122	brca
1671	6924696.0	6926075.0	loss	58	122	brca
1669	6935819.0	6938305.0	gain	18	122	brca
1669	6935819.0	6938305.0	loss	58	122	brca
449491	6950725.0	6951598.0	gain	18	122	brca
449491	6950725.0	6951598.0	loss	58	122	brca
449492	6959288.0	6960160.0	gain	18	122	brca
449492	6959288.0	6960160.0	loss	58	122	brca
449493	6968140.0	6969112.0	gain	18	122	brca
449493	6968140.0	6969112.0	loss	58	122	brca
1667	6977648.0	6980091.0	gain	18	122	brca
1667	6977648.0	6980091.0	loss	58	122	brca
170949	6987177.0	6989720.0	gain	18	122	brca
170949	6987177.0	6989720.0	loss	58	122	brca
728358	6996765.0	6999197.0	gain	18	122	brca
728358	6996765.0	6999197.0	loss	58	122	brca
1668	7015868.0	7018296.0	gain	18	122	brca
1668	7015868.0	7018296.0	loss	58	122	brca
724068	7028600.0	7029488.0	gain	18	122	brca
724068	7028600.0	7029488.0	loss	58	122	brca
1670	7055303.0	7056738.0	gain	18	122	brca
1670	7055303.0	7056738.0	loss	58	122	brca
349196	7260618.0	7263491.0	gain	18	122	brca
349196	7260618.0	7263491.0	loss	58	122	brca
100128890	7298743.0	7355362.0	gain	18	122	brca
100128890	7298743.0	7355362.0	loss	58	122	brca
641517	7309534.0	7320095.0	gain	18	122	brca
641517	7309534.0	7320095.0	loss	58	122	brca
401447	7332386.0	7333978.0	gain	18	122	brca
401447	7332386.0	7333978.0	loss	58	122	brca
645402	7337114.0	7338706.0	gain	18	122	brca
645402	7337114.0	7338706.0	loss	58	122	brca
100131980	7355516.0	7385557.0	gain	18	122	brca
100131980	7355516.0	7385557.0	loss	58	122	brca
100289462	7414854.0	7416862.0	gain	18	122	brca
100289462	7414854.0	7416862.0	loss	58	122	brca
10407	7447753.0	7463541.0	gain	18	122	brca
10407	7447753.0	7463541.0	loss	58	122	brca
100131608	7536678.0	7542449.0	gain	18	122	brca
100131608	7536678.0	7542449.0	loss	58	122	brca
441317	7556699.0	7559711.0	gain	18	122	brca
441317	7556699.0	7559711.0	loss	58	122	brca
441328	7768976.0	7771987.0	gain	18	122	brca
441328	7768976.0	7771987.0	loss	58	122	brca
100133251	7778590.0	7784164.0	gain	18	122	brca
100133251	7778590.0	7784164.0	loss	58	122	brca
245910	7811719.0	7815715.0	gain	18	122	brca
245910	7811719.0	7815715.0	loss	58	122	brca
245908	7821003.0	7823879.0	gain	18	122	brca
245908	7821003.0	7823879.0	loss	58	122	brca
245909	7825138.0	7829052.0	gain	18	122	brca
245909	7825138.0	7829052.0	loss	58	122	brca
140596	7836435.0	7841241.0	gain	18	122	brca
140596	7836435.0	7841241.0	loss	58	122	brca
653423	7848007.0	7863796.0	gain	18	122	brca
653423	7848007.0	7863796.0	loss	58	122	brca
414325	7881391.0	7882662.0	gain	18	122	brca
414325	7881391.0	7882662.0	loss	58	122	brca
1673	7894676.0	7896715.0	gain	18	122	brca
1673	7894676.0	7896715.0	loss	58	122	brca
100132396	7926336.0	7952412.0	gain	18	122	brca
100132396	7926336.0	7952412.0	loss	58	122	brca
100132103	7955012.0	8008754.0	gain	18	122	brca
100132103	7955012.0	8008754.0	loss	58	122	brca
392188	7971660.0	7973252.0	gain	18	122	brca
392188	7971660.0	7973252.0	loss	58	122	brca
645836	7976392.0	7977984.0	gain	18	122	brca
645836	7976392.0	7977984.0	loss	58	122	brca
100302186	8088940.0	8089088.0	gain	18	122	brca
100302186	8088940.0	8089088.0	loss	58	122	brca
286042	8228569.0	8244864.0	gain	18	122	brca
286042	8228569.0	8244864.0	loss	58	122	brca
157285	8317735.0	8386438.0	gain	18	122	brca
157285	8317735.0	8386438.0	loss	58	122	brca
137075	8701936.0	8704095.0	gain	18	122	brca
137075	8701936.0	8704095.0	loss	58	122	brca
9258	8783353.0	8893629.0	gain	18	122	brca
9258	8783353.0	8893629.0	loss	58	122	brca
90459	9002896.0	9100103.0	gain	18	122	brca
90459	9002896.0	9100103.0	loss	58	122	brca
100616350	9048444.0	9048517.0	gain	18	122	brca
100616350	9048444.0	9048517.0	loss	58	122	brca
79660	9136254.0	9151538.0	gain	18	122	brca
79660	9136254.0	9151538.0	loss	58	122	brca
101929128	9188998.0	9202857.0	gain	18	122	brca
101929128	9188998.0	9202857.0	loss	58	122	brca
157273	9325050.0	9335079.0	gain	18	122	brca
157273	9325050.0	9335079.0	loss	58	122	brca
8658	9555911.0	9782345.0	gain	18	122	brca
8658	9555911.0	9782345.0	loss	58	122	brca
693182	9741671.0	9741767.0	gain	18	122	brca
693182	9741671.0	9741767.0	loss	58	122	brca
157627	9900063.0	9903328.0	gain	18	122	brca
157627	9900063.0	9903328.0	loss	58	122	brca
406907	9903387.0	9903471.0	gain	18	122	brca
