	Name	Database_ID	chromosome	start_bp	end_bp	p_arm_max	arm
0	A1BG	ENSG00000121410.10	19	58345178	58353492	26200000	q
1	A1CF	ENSG00000148584.13	10	50799409	50885675	39800000	q
2	A2M	ENSG00000175899.13	12	9067664	9116229	35500000	p
3	A2ML1	ENSG00000166535.18	12	8822621	8887001	35500000	p
4	A3GALT2	ENSG00000184389.9	1	33306766	33321098	123400000	p
5	A4GALT	ENSG00000128274.14	22	42692121	42721298	15000000	q
6	A4GNT	ENSG00000118017.3	3	138123713	138132390	90900000	q
7	AAAS	ENSG00000094914.11	12	53307456	53324864	35500000	q
8	AACS	ENSG00000081760.15	12	125065434	125143333	35500000	q
9	AADAC	ENSG00000114771.12	3	151814073	151828488	90900000	q
10	AADACL2	ENSG00000197953.5	3	151733916	151761339	90900000	q
11	AADACL3	ENSG00000188984.10	1	12716110	12728760	123400000	p
12	AADACL4	ENSG00000204518.2	1	12644085	12667076	123400000	p
13	AADAT	ENSG00000109576.12	4	170060222	170091699	50000000	q
14	AAED1	ENSG00000158122.10	9	96639577	96655317	43000000	q
15	AAGAB	ENSG00000103591.11	15	67200667	67255195	19000000	q
16	AAK1	ENSG00000115977.17	2	69457997	69674349	93900000	p
17	AAMDC	ENSG00000087884.13	11	77821109	77918432	53400000	q
18	AAMP	ENSG00000127837.8	2	218264129	218270178	93900000	q
19	AANAT	ENSG00000129673.8	17	76453351	76470117	25100000	q
20	AAR2	ENSG00000131043.10	20	36236131	36270918	28100000	q
21	AARD	ENSG00000205002.3	8	116938207	116944487	45200000	q
22	AARS	ENSG00000090861.14	16	70251983	70289707	36800000	q
23	AARS2	ENSG00000124608.4	6	44298731	44313347	59800000	p
24	AARSD1	ENSG00000266967.5	17	42950526	42964498	25100000	q
25	AASDH	ENSG00000157426.12	4	56338287	56387508	50000000	q
26	AASDHPPT	ENSG00000149313.9	11	106075501	106098699	53400000	q
27	AASS	ENSG00000008311.13	7	122064583	122144308	60100000	q
28	AATF	ENSG00000275700.3	17	36948925	37056871	25100000	q
29	AATK	ENSG00000181409.10	17	81110487	81166221	25100000	q
30	ABAT	ENSG00000183044.10	16	8674596	8784575	36800000	p
31	ABCA1	ENSG00000165029.14	9	104781006	104928155	43000000	q
32	ABCA10	ENSG00000154263.16	17	69147214	69244846	25100000	q
33	ABCA12	ENSG00000144452.13	2	214931542	215138626	93900000	q
34	ABCA13	ENSG00000179869.13	7	48171458	48647497	60100000	p
35	ABCA2	ENSG00000107331.15	9	137007234	137028922	43000000	q
36	ABCA3	ENSG00000167972.12	16	2275881	2340746	36800000	p
37	ABCA4	ENSG00000198691.10	1	93992834	94121148	123400000	p
38	ABCA5	ENSG00000154265.14	17	69244311	69327244	25100000	q
39	ABCA6	ENSG00000154262.11	17	69078702	69141895	25100000	q
40	ABCA7	ENSG00000064687.11	19	1039997	1065572	26200000	p
41	ABCA8	ENSG00000141338.12	17	68867289	68955392	25100000	q
