Name	brca_Database_ID	luad_Database_ID	ccrcc_Database_ID	lscc_Database_ID	ovarian_Database_ID	brca_pvalue	ccrcc_pvalue	colon_pvalue	endometrial_pvalue	gbm_pvalue	hnscc_pvalue	lscc_pvalue	luad_pvalue	ovarian_pvalue	brca_diff	ccrcc_diff	colon_diff	endometrial_diff	gbm_diff	hnscc_diff	lscc_diff	luad_diff	ovarian_diff
ABCA13	NP_689914.3					0.694999156234742									0.2716522222222223								
ACTB	NP_001092.1	NP_001092.1	NP_001092.1	NP_001092.1	NP_001092	0.04399989639021898	0.5766048666549357	0.5287986238432911	0.8031357498615453	0.6142571433737447	0.847852044485515	0.3872654851095268	0.22269384625520408	0.4325470835152168	0.6768405555555554	0.08302396454343147	0.16334832535885166	-0.1611642857142858	0.07772711381860348	-0.03221215745976025	0.15634551282051273	0.19843861003861	-0.14032324301906784
ADAP1	NP_006860.1|NP_001271237.1|NP_001271239.1|NP_001271240.1	NP_006860.1|NP_001271237.1|NP_001271238.1|NP_001271240.1	NP_006860.1	NP_006860.1|NP_001271237.1|NP_001271238.1|NP_001271240.1	NP_006860	0.7828830904259848	0.8315645451650939	0.04920089000917884	0.577106836109005	0.8683001683109609	0.08940846746911259	0.5635801806250561	0.9234314904588422	0.5073948277106668	0.1157227777777777	0.041141257928505266	0.23626018099547516	0.2934321428571429	0.0679992475050844	0.22468316895539786	0.19875739316239327	0.05496229086229079	0.19309072593855933
AEBP1	NP_001120.3	NP_001120.3	NP_001120.3	NP_001120.3	NP_001120	0.4252817330515644	0.6076001551614593	0.9127938095818132	0.8449262506424611	0.5201114292538788	0.30088755858551003	0.05995750632410304	0.4583540975334839	0.9279801568447491	0.6894861111111112	-0.2739561268385552	-0.03424875565610868	-0.13559107142857144	0.20303924691262498	0.24906841802199153	1.0477870085470082	-0.3529379665379665	0.03573854645338982
AGR2	NP_006399.1	NP_006399.1		NP_006399.1	NP_006399	0.599861414691165		0.30129221197405365	0.11894429749622848	0.24456380253804363	0.8799335938476734	0.8000017364415207	0.024232096611039408	0.3802349454302224	0.696066111111111		-0.4108199095022624	1.8449642857142858	0.7073597381582734	0.06147301621606971	-0.252864829059829	2.2223391248391247	0.4825147349025427
AGR3	NP_789783.1	NP_789783.1		NP_789783.1	NP_789783	0.7122933319605139		0.6326014657404214	0.07517215941009667		0.8799335938476734	0.4235192013677882	0.01772919697558273	0.31967751417904205	0.47580166666666646		-0.18454977375565595	1.7600607142857143	0.21148922892681316	-0.051834715897904005	-0.4791209401709404	2.1270871299871295	0.5007579114131357
AHR	NP_001612.1	NP_001612.1	NP_001612.1	NP_001612.1	NP_001612	0.021564317356584643	0.9369925848227151	0.8265248084215066	0.21170262561104944	0.7209481366460936	0.02576230977433668	0.2481461661917895	0.0016321002707906452	0.6304695150671843	0.7273049999999999	0.01841362531880436	0.035817532467532456	0.5461066071428572	-0.1215803018244022	0.262888320750875	0.3616220940170939	1.5200074646074646	-0.09165081849788134
AIMP2	NP_006294.2|NP_001313535.1|NP_001313538.1	NP_006294.2|NP_001349714.1|NP_001313535.1|NP_001349716.1|NP_001313538.1	NP_006294.2	NP_001313536.1	NP_006294	0.062382237952258425	0.9573841315864121	0.04920089000917884	0.5859612341107046	0.3212339343847658	0.06658249462172798	0.39145562240626786	0.38940288280267865	0.7328902731920607	0.3219316666666667	0.005477344225778667	0.12178857466063353	-0.15245	0.08607371740267102	0.11294325907888236	-0.16803487179487184	0.16192458172458185	0.04648586927542386
AIMP2	NP_006294.2|NP_001313535.1|NP_001313538.1	NP_006294.2|NP_001349714.1|NP_001313535.1|NP_001349716.1|NP_001313538.1	NP_006294.2	NP_001313536.1	NP_001313536	0.062382237952258425	0.9573841315864121	0.04920089000917884	0.5859612341107046	0.3212339343847658	0.06658249462172798	0.39145562240626786	0.38940288280267865	0.7561779596277064	0.3219316666666667	0.005477344225778667	0.12178857466063353	-0.15245	0.08607371740267102	0.11294325907888236	-0.16803487179487184	0.16192458172458185	0.04321955028177954
AIMP2	NP_006294.2|NP_001313535.1|NP_001313538.1	NP_006294.2|NP_001349714.1|NP_001313535.1|NP_001349716.1|NP_001313538.1	NP_006294.2	NP_006294.2|NP_001349714.1|NP_001313535.1|NP_001349716.1|NP_001313538.1	NP_006294	0.062382237952258425	0.9573841315864121	0.04920089000917884	0.5859612341107046	0.3212339343847658	0.06658249462172798	0.5106853340800732	0.38940288280267865	0.7328902731920607	0.3219316666666667	0.005477344225778667	0.12178857466063353	-0.15245	0.08607371740267102	0.11294325907888236	0.07795354700854701	0.16192458172458185	0.04648586927542386
AIMP2	NP_006294.2|NP_001313535.1|NP_001313538.1	NP_006294.2|NP_001349714.1|NP_001313535.1|NP_001349716.1|NP_001313538.1	NP_006294.2	NP_006294.2|NP_001349714.1|NP_001313535.1|NP_001349716.1|NP_001313538.1	NP_001313536	0.062382237952258425	0.9573841315864121	0.04920089000917884	0.5859612341107046	0.3212339343847658	0.06658249462172798	0.5106853340800732	0.38940288280267865	0.7561779596277064	0.3219316666666667	0.005477344225778667	0.12178857466063353	-0.15245	0.08607371740267102	0.11294325907888236	0.07795354700854701	0.16192458172458185	0.04321955028177954
AMPH	NP_001626.1|NP_647477.1	NP_001626.1|NP_647477.1			NP_001626	0.6409835775131186			0.2264254644499919	0.7542585604392217	0.5834362998046595		0.10617784107437216	0.6655314591934165	0.49418833333333323			0.5145071428571428	0.1968575861008989	-0.095167483623257		1.0514138996138995	0.13309965146186442
ANKMY2	NP_064715.1	NP_064715.1	NP_064715.1	NP_064715.1	NP_064715	0.24616118113883634	0.0014205254647699484	0.7885215993636404	0.00034155762775898264	0.013356332171105056	0.6156593740860428	0.004863467811058184	0.02696915525127207	0.02986546936274599	0.42958666666666667	0.34021231518751693	0.032316515837104084	0.9414428571428572	0.28531182413539274	0.04653025397553989	0.5864523076923078	0.7253550836550836	0.39990982483898313
ANLN	NP_061155.2|NP_001271230.1|NP_001271231.1	NP_061155.2|NP_001271230.1|NP_001271231.1		NP_061155.2|NP_001271230.1|NP_001271231.1	NP_061155	0.9503621150776981		0.8341918260864248	0.15251243646043616	0.8472377076479021	0.00045799305900787293	0.02988607864342196	0.9929937450963351	0.5589056157933908	0.0701972222222218		-0.04922111111111116	-0.7953642857142857	0.1108538009808554	0.6541455831616254	0.9836988034188033	-0.012575804375804411	0.17233032132838982
AP5Z1	NP_055670.1	NP_055670.1	NP_055670.1	NP_055670.1	NP_055670	0.7122933319605139	0.5281733979447422	0.9763132529793231	0.5955100466624765	0.8683001683109609	0.4277187666432649	0.9908360754131793	0.0690934066738271	0.22578972972887518	0.09364777777777777	0.08743692466872977	-0.004906249999999994	-0.09764089285714286	0.014019968119150315	-0.06582824145489496	0.003770769230769272	0.3008828828828829	0.21568592291313554
AQP1	NP_932766.1|NP_001171990.1|NP_001171989.1|NP_001171991.1|NP_001316801.1	NP_932766.1|NP_001316801.1	NP_932766.1	NP_932766.1|NP_001316801.1		0.18743952819823814	0.7924551096478715	0.6730286900382024	0.6390237304472335	0.8683001683109609	0.8493678708109688	0.30578430461054473	0.9263585320269851		0.8823377777777779	0.08931187992798184	0.10584099821746895	-0.25903875	0.04927706038081724	0.04880802756894553	-0.4144004273504267	0.07156409266409258	
AVL9	NP_055875.1	NP_055875.1	NP_055875.1	NP_055875.1	NP_055875	0.1442076152174764	0.22848459202530183	0.0029095344168170866	0.2997129077852927	0.5104764566544829	0.4826571192855706	0.012607101661692079	0.00044379838510025455	0.03433165064489175	0.4507516666666667	0.22455828538874872	0.21389287330316736	0.3676964285714285	0.10782722677918422	0.07853928524331266	0.5375106410256408	1.4701906048906046	0.45055993789194915
BBS9	NP_940820.1|NP_001028776.1|NP_001028777.1|NP_055266.2					0.8276755898613516			0.16262777022251723	0.8683001683109609	0.9536610207860701				0.12476111111111104			0.37432321428571413	-0.023028088764570336	0.03487190230182691			
BLVRA	NP_000703.2	NP_000703.2	NP_000703.2	NP_000703.2	NP_000703	0.9021021695150446	0.7109991018757859	0.45629084860029673	0.6592916320743547	0.87262278141837	0.27961136486772925	0.0973618649121812	7.050326158454824e-05	0.1945664970589937	0.09184055555555551	-0.06409899237108801	-0.11508914027149325	0.16180000000000003	0.02013272223486609	0.11915585518603677	0.36541273504273486	1.517723166023166	0.21354354099364403
BRAT1	NP_689956.2	NP_001337555.1|NP_689956.2|NP_001337556.1	NP_001337555.1	NP_001337555.1|NP_689956.2|NP_001337556.1	NP_689956	0.8276755898613516	0.36329202558700596	0.5734601017009466	0.5156162110701804	0.5104764566544829	0.026613782950027122	0.07948561504219029	0.10103459957546106	0.02986546936274599	0.0601177777777778	0.11994184900461781	0.0688062121212121	0.21915449999999997	0.08698572773577834	0.1802335440510987	0.34265957264957264	0.4574925353925354	0.4141685104449153
BZW2	NP_001153239.1	NP_001153239.1|NP_001349647.1	NP_001153239.1	NP_001153239.1|NP_001349647.1	NP_001153239	0.022850365666601185	0.3144078137465795	0.002769869756503008	0.8177350379880802	0.3591552668059928	0.051820961355679554	0.4469469390951394	0.034291002689196104	0.3802349454302224	0.8796283333333336	0.20129341015745986	0.24260305429864265	0.05662499999999998	0.13288217749991726	0.2214695552838677	0.21439405982906	0.7872252252252252	0.1787950772711865
C7orf25	NP_001093328.1|NP_076959.2	NP_001350365.1|NP_001093328.1		NP_001093328.1|NP_001350365.1	NP_001093328	0.01679090544711433		0.7971889291063317	0.21170262561104944	0.09182109044349977	0.08873927029326485	0.00012813652862911693	0.5676242401244606	0.31967751417904205	0.5428055555555555		0.12154333333333334	0.28518392857142855	0.12249784215554528	0.16829515623740932	0.5452352136752135	0.1607196911196911	0.16296868323728814
C7orf26	NP_076972.2|NP_001289968.1			NP_076972.2|NP_001289968.1	NP_076972	0.6868847543070397		0.5031214362332249	0.6390237304472335	0.7133448230199546	0.23481006281982492	0.5635221099750084		0.5073948277106668	0.13815888888888894		-0.07688028673835126	0.09877321428571427	0.05537169281020829	0.13865204906141315	0.11874517094017095		0.11695789573940671
C7orf50	NP_001305181.1	NP_001127867.1|NP_001337897.1|NP_001337898.1|NP_001337899.1	NP_001127867.1	NP_001127867.1|NP_001337897.1|NP_001337898.1|NP_001337899.1	NP_001305181	0.052710686057725456	0.3144078137465795	0.001541498899738117	0.39364639785300665	0.7116808865624331	0.015548433656482697	0.07358101539344775	0.13805729037001763	0.25693507966924406	0.761351111111111	0.28369616290960664	0.26916877828054303	0.21879392857142863	0.07389151235955241	0.34521465165223475	0.4576849999999999	0.5933455598455601	0.3259177037055085
CARD11	NP_001311210.1	NP_001311210.1	NP_001311210.1	NP_001311210.1		0.7026575591837414	0.8315645451650939		0.2997129077852927	0.9629755032253167	0.18793268547364234	0.21736164229505722	0.8756529012393838		-0.12878333333333336	0.05035526978874888		-0.4030725274725274	-0.006191156262108013	-0.23569907876874296	0.5674136324786323	-0.08848005148005145	
CBX3	NP_009207.2	NP_009207.2	NP_009207.2	NP_009207.2	NP_009207	0.9921704084581202	0.5638576550406512	0.9167148887992133	0.2944256336338003	0.8650313471234248	0.16008990569082807	0.6489490966364244	0.36349718912440704	0.8601248208151566	0.014392777777778032	0.07696280971457703	0.012997398190045306	-0.34191607142857144	-0.044306654918540495	0.14693897455774874	0.08598128205128208	-0.214503088803089	0.02539838529237289
CCM2	NP_113631.1|NP_001025006.1|NP_001161406.1|NP_001161407.1	NP_001350387.1|NP_001025006.1|NP_113631.1|NP_001161407.1|NP_001350388.1|NP_001161406.1	NP_001025006.1	NP_001350387.1|NP_113631.1|NP_001025006.1|NP_001161407.1|NP_001350388.1|NP_001161406.1	NP_001025006	0.021564317356584643	0.5160065374338961	0.30129221197405365	0.4410532530051739	0.00567634423277358	0.3311595917160135	0.015230368478476591	0.007084936822651111	0.22578972972887518	0.49539111111111134	0.10110901328174873	0.13750699523052462	0.2353967857142857	0.22263784286665272	0.09417294813684407	0.46415876068376055	0.8290961389961391	0.1523172073707627
CCT6A	NP_001753.1|NP_001009186.1		NP_001753.1	NP_001753.1|NP_001009186.1	NP_001753	0.9957506330035766	0.5160065374338961	0.45629084860029673	0.7305380780261032	0.87262278141837	0.3793878964720557	0.1226288197962552		0.3773375296576784	0.005578888888888939	0.09574056668889394	0.056250452488687874	0.07982017857142858	0.026369758816492943	0.09918754469433111	-0.2039259401709401		-0.14600845520974579
CCZ1	NP_056437.4		NP_056437.4	NP_056437.4	NP_056437	0.08074304713711816	0.8315645451650939	0.44886260471341444	0.183841303893053	0.8683001683109609	0.020062562154630998	0.8666734197704247		0.19977411775683057	0.3500027777777778	-0.019719868062387125	-0.05334083710407239	0.18788964285714285	0.012326467228395635	0.12843736762847868	-0.026863717948717974		0.18384622835805087
CDK13	NP_003709.3	NP_003709.3		NP_003709.3	NP_003709	0.10720805590098326		0.7885215993636404	0.21799407244118207	0.19178449508153272	0.020062562154630998	0.0011816301339729403	0.0005129434975495706	0.5382880809974254	0.776365		0.08047777777777776	0.20506785714285714	0.13782743082266385	0.17259032254120044	0.7637518376068374	0.7347876447876448	0.11470734934322033
CDK13	NP_003709.3	NP_003709.3		NP_003709.3	NP_112557	0.10720805590098326		0.7885215993636404	0.21799407244118207	0.19178449508153272	0.020062562154630998	0.0011816301339729403	0.0005129434975495706	0.5589056157933908	0.776365		0.08047777777777776	0.20506785714285714	0.13782743082266385	0.17259032254120044	0.7637518376068374	0.7347876447876448	0.10692470656355933
CHCHD2	NP_001307256.1|NP_057223.1	NP_001307256.1|NP_057223.1	NP_001307256.1	NP_001307256.1|NP_057223.1	NP_001307256	0.0037879970230276666	0.5766048666549357	0.5287986238432911	0.2088237503432527	0.6371343211178511	0.04290121308418659	0.37647201817104586	0.5676242401244606	0.22578972972887518	1.0111455555555555	0.09697027520911372	0.10773325791855201	0.4707557142857143	0.2621742431976405	0.33586634126277204	0.28186517094017094	0.21467413127413126	0.36211577959745767
COBL	NP_001274365.1|NP_001274367.1	NP_001274365.1|NP_001333370.1|NP_056013.2|NP_001333371.1|NP_001333372.1|NP_001333373.1|NP_001274367.1		NP_001274365.1|NP_056013.2|NP_001333371.1|NP_001333370.1|NP_001333372.1|NP_001333373.1|NP_001274367.1		0.9957506330035766		0.11674227926329622	0.036309518196585136	0.8650313471234248	0.4303561918032324	0.9751217910806655	0.03195558371802093		-0.002760555555555544		0.2757912781954887	1.3784285714285716	0.07110715230451356	-0.28455930664074813	-0.029051837606838493	1.0305832689832697	
CPVL	NP_061902.2	NP_001334981.1		NP_001334981.1	NP_061902	0.3889496170019871		0.20818471595315402	0.48559064503140564	0.8650313471234248	0.18793268547364234	0.32520856949980964	0.06211256748160478	0.22578972972887518	0.4011633333333331		-0.19341278280542992	-0.5620839285714285	-0.05751060063562231	-0.25748454386546626	-0.44123405982906005	-0.9569324324324326	0.3640105780127119
CYCS	NP_061820.1	NP_061820.1	NP_061820.1	NP_061820.1|P62894|P00004	NP_061820	0.025774502124431338	0.6907355187411478	0.20598263408227066	0.5589261754954906	0.36966490963352056	0.6415932802339337	0.19871600275455284	0.07604902114347685	0.5645359588241468	0.8731255555555555	0.14878688439185117	0.25099162895927607	0.20061964285714287	0.1881082826522006	0.07526616316982881	0.3197651709401709	0.7232844272844274	0.2867229736186441
CYTH3	NP_004218.1	NP_004218.1		NP_004218.1	NP_004218	0.40598054538507594			0.4780048440518562	0.3941838816359045	0.5058266365217937	0.9526169376712511	0.02224315584693461	0.6655314591934165	0.5077616666666667			-0.2274987179487179	0.13307288907349527	0.0837368163260841	-0.032984316239316414	1.039769111969112	0.06782171168220338
DAGLB	NP_631918.3|NP_001136408.1	NP_631918.3|NP_001136408.1		NP_631918.3|NP_001136408.1	NP_631918	0.694999156234742		0.7105221498758633	0.8954344713889492	0.0518424452881301	0.0044250855938764554	0.08113971316861572	9.226193822096895e-05	0.280927297077899	0.21812333333333322		0.10305630434782606	0.041667857142857145	0.17203035866483038	0.3069387948290334	0.35387465811965824	1.195181595881596	0.17884010279025425
DBNL	NP_001014436.1|NP_001271242.1	NP_054782.2|NP_001014436.1|NP_001116428.1|NP_001349652.1|NP_001271244.1|NP_001271242.1	NP_001014436.1	NP_054782.2|NP_001271244.1	NP_001014436	0.23534214348712995	0.3144078137465795	0.20598263408227066	0.056578178520433085	0.04570719787716562	0.6234758411540193	0.002783650818628133	0.016295018914172583	0.14601234849759034	0.27183500000000005	0.14061547796801502	0.08404954751131223	0.3826464285714286	0.1795821515903383	0.04998138410040909	0.513844957264957	0.4601920205920206	0.2026204910042374
DBNL	NP_001014436.1|NP_001271242.1	NP_054782.2|NP_001014436.1|NP_001116428.1|NP_001349652.1|NP_001271244.1|NP_001271242.1	NP_001014436.1	NP_054782.2|NP_001271244.1	NP_001116428	0.23534214348712995	0.3144078137465795	0.20598263408227066	0.056578178520433085	0.04570719787716562	0.6234758411540193	0.002783650818628133	0.016295018914172583	0.14601234849759034	0.27183500000000005	0.14061547796801502	0.08404954751131223	0.3826464285714286	0.1795821515903383	0.04998138410040909	0.513844957264957	0.4601920205920206	0.20048007655932198
DBNL	NP_001014436.1|NP_001271242.1	NP_054782.2|NP_001014436.1|NP_001116428.1|NP_001349652.1|NP_001271244.1|NP_001271242.1	NP_001014436.1	NP_001014436.1|NP_001271242.1	NP_001014436	0.23534214348712995	0.3144078137465795	0.20598263408227066	0.056578178520433085	0.04570719787716562	0.6234758411540193	0.05848813702948228	0.016295018914172583	0.14601234849759034	0.27183500000000005	0.14061547796801502	0.08404954751131223	0.3826464285714286	0.1795821515903383	0.04998138410040909	0.5045775641025638	0.4601920205920206	0.2026204910042374
DBNL	NP_001014436.1|NP_001271242.1	NP_054782.2|NP_001014436.1|NP_001116428.1|NP_001349652.1|NP_001271244.1|NP_001271242.1	NP_001014436.1	NP_001014436.1|NP_001271242.1	NP_001116428	0.23534214348712995	0.3144078137465795	0.20598263408227066	0.056578178520433085	0.04570719787716562	0.6234758411540193	0.05848813702948228	0.016295018914172583	0.14601234849759034	0.27183500000000005	0.14061547796801502	0.08404954751131223	0.3826464285714286	0.1795821515903383	0.04998138410040909	0.5045775641025638	0.4601920205920206	0.20048007655932198
DDX56	NP_061955.1|NP_001244118.1	NP_061955.1|NP_001244118.1	NP_061955.1	NP_061955.1|NP_001244118.1	NP_001244118	0.6674210258425043	0.5319688225518172	0.04920089000917884	0.5013978234632618	0.4249879322014903	0.012383250417106575	0.5290040946065806	0.7844225647285992	0.9243791713528838	-0.1564055555555555	0.10929747519621638	0.16966357466063348	-0.15372678571428577	0.09474752681311989	0.2312579716045171	0.15531880341880344	0.08747850707850702	-0.01345935558686441
DNAAF5	NP_060272.3	NP_060272.3	NP_060272.3	NP_060272.3	NP_060272	0.9503621150776981	0.5611632378078956	0.04046543254431603	0.3625308014023159	0.47008828180636825	0.014095572771747951	0.018727906393062373	0.016262258451711357	0.37015356729728355	-0.03716666666666667	-0.09022778199632361	0.17210961538461536	0.3159642857142857	0.12075001531178371	0.3077485670278506	0.6545923076923078	0.7488446589446592	0.16727250114830508
DPY19L1	NP_056098.1	NP_056098.1		NP_056098.1	NP_056098	0.20639791720541403		0.7338869079215062	0.07268135184688475	0.19178449508153272	0.2390645817313489	0.006363736920591298	0.035634028737349846	0.6962468544780023	0.6969872222222224		-0.05788835125448025	0.8905535714285713	0.23851787230121574	0.15557097854881974	0.7853087606837607	1.1112307593307593	0.07704896783686443
FAM126A	NP_115970.2	NP_001350395.1|NP_001350396.1	NP_001350395.1	NP_115970.2	NP_115970	0.14518095444418916	0.6076001551614593	0.6648059081001023	0.6592916320743547	0.1461405716064812	0.9746829876333707	0.015608347232013587	0.07371039611226501	0.22578972972887518	0.5651544444444444	0.07722925226295262	-0.09662390350877204	0.11941785714285713	0.12988923097945093	-0.003256577938572036	0.4208049145299144	0.5443697554697556	0.22850279847881366
FBXL18	NP_079239.3|NP_001308142.1	NP_079239.3|NP_001308142.1|NP_001350370.1|NP_001350371.1	NP_079239.3	NP_079239.3|NP_001308142.1|NP_001350370.1|NP_001350371.1	NP_079239	8.651752952767189e-05	0.5611632378078956	0.30129221197405365	0.07890552213218374	0.0678420337109879	0.11301529663364276	0.07289748484666879	0.0016321002707906452	0.005091067983385545	0.8874000000000001	0.06331721874078516	0.13965402930402931	0.3616457142857143	0.1663937950444294	0.13569682670178196	0.3734549145299144	0.7475146718146717	0.45420849951694914
FKBP14	NP_060416.1	NP_060416.1		NP_060416.1	NP_060416	0.025478830336898496		0.6796803854222737	0.5395924787055445	0.7542585604392217	0.025059899933228384	0.03363333419988625	0.4541717869102678	0.6654888909329227	1.308385		0.2188878787878788	-0.2737789285714286	0.08070093386714591	0.4083438425488666	0.8357151282051284	0.3188809523809526	-0.18711048597245766
FKBP9	NP_009201.2|NP_001271270.1|NP_001271272.1	NP_009201.2|NP_001271272.1	NP_009201.2	NP_009201.2|NP_001271270.1|NP_001271272.1	NP_009201	0.029242168860104424	0.7849537300514463	0.4035596131124317	0.9403401672682046	0.538959369888392	0.04390900607508492	0.0038926143761502906	0.22269384625520408	0.3750801824265715	1.1063261111111111	0.05489493802440348	0.13251719457013572	-0.035275000000000056	0.18472166153892436	0.30431648636817954	1.1022269230769228	0.4374546975546974	0.25029927480084746
FOXK1	NP_001032242.1	NP_001032242.1	NP_001032242.1	NP_001032242.1	NP_001032242	0.2935437962235709	0.10922505439295584	0.0005329899657408597	0.7081920317777558	0.3212339343847658	0.0005004624228866672	0.016323967880889603	0.9929937450963351	0.02584202574707798	0.25389833333333345	0.22273422176901633	0.2423503393665159	-0.11658928571428567	0.11582697169793531	0.28798556645387663	0.5656672222222221	-0.009794079794079869	0.42752359359533887
FSCN1	NP_003079.1	NP_003079.1	NP_003079.1	NP_003079.1	NP_003079	0.1982109420145104	0.8315645451650939	0.30129221197405365	0.07890552213218374	0.19178449508153272	0.18793268547364234	0.012556597729923888	0.2622781956954816	0.02926096208693311	0.7610822222222224	0.060256073926481635	-0.18500667420814476	0.8561107142857143	0.21553319891837225	0.2519379851267445	1.041882264957265	-0.5616131274131273	0.723698713161017
GET4	NP_057033.2	NP_057033.2	NP_057033.2	NP_057033.2	NP_057033	0.43149296893552413	0.9369925848227151	0.3361657223798424	0.9651841902580875	0.04403760728837857	0.07972399957915534	0.18066677871486028	0.0016321002707906452	0.036383600546261476	0.25615611111111103	0.009071262478144465	0.10692068764568764	0.01136553571428578	0.12468802623751916	0.15090705635488533	0.18635243589743586	0.8348285714285714	0.40635099819491527
GGCT	NP_076956.1|NP_001186746.1|NP_001186744.1|NP_001186745.1	NP_076956.1|NP_001186746.1|NP_001186744.1|NP_001186745.1	NP_076956.1	NP_076956.1|NP_001186746.1|NP_001186744.1|NP_001186745.1	NP_076956	0.1982109420145104	0.31751415820853995	0.0494006493034109	0.056578178520433085	0.7116808865624331	0.0017252651800791848	0.2556204409794717	0.02836913014834461	0.5382880809974254	0.837775	0.16704949470834446	0.32770260180995475	0.9331985714285714	0.08222821294719704	0.3690417440901861	0.33246858974358984	1.385848133848134	0.19808581103177964
GLI3	NP_000159.3|NP_005261.2|NP_001035878.1|NP_689842.3|NP_671726.2			NP_000159.3|NP_001305847.1		0.6023711255238128					0.8493678708109688	0.5106853340800732			0.30184999999999995					0.06659753471099705	0.20906568376068382		
GPNMB	NP_001005340.1|NP_002501.1	NP_001005340.1|NP_002501.1	NP_001005340.1	NP_002501.1	NP_001005340	0.7786730393705363	0.6460213620961489	0.5287986238432911	0.6306656511800253	0.7878521360603133	0.29782556746432237	0.7393010848580752	0.15893773586020615	0.8556243481469376	0.18566499999999986	0.27334685137536074	-0.20241052036199103	-0.4295660714285715	0.1710004375946909	0.34906346061807625	0.22922025641025606	-0.7759709137709141	-0.08007958908686452
GRB10	NP_005302.3|NP_001001549.1|NP_001001555.1	NP_001337743.1|NP_001001549.1|NP_001337745.1|NP_001337744.1|NP_001001550.1	NP_001337743.1	NP_001337743.1|NP_001001549.1|NP_001337745.1|NP_001337744.1|NP_001001550.1		0.022850365666601185	0.5611632378078956		0.40352652553018137	0.6085882481969861	0.5069333958200835	0.15389433517421142	0.21696484033181446		1.04166	0.16156251214634898		0.3349237142857143	0.186593399042728	0.14363818806466355	0.4822548290598291	0.7502383526383526	
HDAC9	NP_478056.1					0.7122933319605139			0.05495174107126608	0.252431495438062					0.15272277777777782			0.4753037499999999	0.16957876286692455				
HIBADH	NP_689953.1	NP_689953.1	NP_689953.1	NP_689953.1	NP_689953	0.0028883839527091685	0.11571502358872252	9.353038770074143e-05	0.2944256336338003	0.6679986608534744	0.29948902981915054	0.06205303198296526	0.016262258451711357	0.4292878997156238	1.266757222222222	0.34494367722115943	0.5164454751131222	0.6988553571428571	-0.10252789115110086	0.12925504424722334	0.40285978632478625	1.1322011583011584	0.24410401241525426
HUS1	NP_004498.1	NP_004498.1|NP_001350612.1		NP_004498.1|NP_001350612.1	NP_004498	0.21712078401556142		0.5451557774469356	0.8565255343763781	0.538959369888392	0.08873927029326485	0.47929556612085483	0.7844225647285992	0.9425432816493826	-0.35228499999999996		0.07997995951417004	0.04919821428571429	0.1024522574134708	0.16099290238910058	0.1253402991452991	-0.09837747747747749	0.00978708282838986
