cancer_type	protein	Database_ID	adj_p
brca	ADAMDEC1	NP_055294.1|NP_001138744.1	0.016400909702375042
brca	AGPAT5	NP_060831.2	0.6909295713532044
brca	ANGPT2	NP_001138.1|NP_001112360.1|NP_001112359.1	0.06718697550376401
brca	ARHGEF10	NP_001295082.1|NP_055444.2|NP_001295081.1	0.3256279118790848
brca	ASAH1	NP_004306.3|NP_808592.2	0.20487913515472078
brca	ATP6V1B2	NP_001684.2	0.9825610794601655
brca	BIN3	NP_061158.1	0.23666344833467984
brca	BLK	NP_001706.2|NP_001317394.1	0.21772434655105055
brca	BMP1	NP_006120.1|NP_001190.1	0.011296356448341273
brca	BNIP3L	NP_004322.1|NP_001317420.1	0.2973093427648273
brca	CDCA2	NP_689775.2|NP_001304835.1|NP_001304836.1	0.1605999360038484
brca	CHMP7	NP_689485.1|NP_001304828.1	0.9999958373346344
brca	CLU	NP_001822.3	0.031068928916810994
brca	CNOT7	NP_001309022.1|NP_001309020.1|NP_001309023.1|NP_001309018.1|NP_001309026.1|NP_001309029.1	0.5857718828505293
brca	CTSB	NP_001899.1|NP_001304166.1	0.051327320484479036
brca	DCTN6	NP_006562.1	0.023440465840638598
brca	DEFA3	NP_005208.1|NP_001289194.1|NP_004075.1	0.011296356448341273
brca	DEFA4	NP_001916.1	0.02780308673350335
brca	DLC1	NP_872584.2|NP_001303597.1|NP_001157743.1|NP_079043.3	0.03466335763965716
brca	DOCK5	NP_079216.4	0.5034896554075352
brca	DOK2	NP_003965.2|NP_001304729.1	0.013743044182003306
brca	DUSP4	NP_001385.1|NP_476499.1|NP_004409.1	0.11428405243086323
brca	ERI1	NP_699163.2	0.9825610794601655
brca	ERICH1	NP_997215.1|NP_001290029.1	0.49348133691702356
brca	FAM160B2	NP_073586.5	0.9293253564952386
brca	FDFT1	NP_001274671.1|NP_001274679.1|NP_001274673.1|NP_001274680.1|NP_001274685.1	0.20487913515472078
brca	GSR	NP_000628.2|NP_001182031.1|NP_001182032.1|NP_001182033.1	0.0379539955332261
brca	GTF2E2	NP_002086.1	0.276745195007266
brca	HMBOX1	NP_001311312.1|NP_001317427.1|NP_001311314.1|NP_001129198.1|NP_001311315.1|NP_001311316.1|NP_001311318.1|NP_001311320.1|NP_001311322.1|NP_001311324.1	0.5034896554075352
brca	KBTBD11	NP_055682.1	0.013743044182003306
brca	KCNU1	NP_001027006.2	0.013743044182003306
brca	KCTD9	NP_060104.2	0.17276489373179038
brca	KIF13B	NP_056069.2	0.7911574888903917
brca	LOXL2	NP_002309.1	0.016400909702375042
brca	LPL	NP_000228.1	0.044915406154231445
brca	LZTS1	NP_066300.1	0.013743044182003306
brca	MAK16	NP_115898.2	0.21772434655105055
brca	MFHAS1	NP_004216.2	0.015980945652871524
brca	MSR1	NP_619729.1|NP_619730.1	0.015980945652871524
brca	MSRA	NP_036463.1|NP_001129143.1|NP_001129142.1|NP_001186658.1	0.5962984238031772
brca	MTMR7	NP_004677.3	0.16459426273323188
brca	MTMR9	NP_056273.2	0.7911574888903917
brca	MTUS1	NP_001001924.1|NP_001159865.1|NP_065800.1|NP_001317399.1	0.8095138833425306
brca	MTUS1	NP_001001925.1	0.1631112482872975
brca	MYOM2	NP_003961.3	0.04899347388774753
brca	NAT1	NP_001153651.1|NP_001278891.1	0.20487913515472078
brca	NEFL	NP_006149.2	0.011296356448341273
brca	NEIL2	NP_659480.1|NP_001129220.1	0.9825610794601655
brca	NUDT18	NP_079091.3	0.3098549908103922
brca	PBK	NP_060962.2|NP_001265874.1	0.18952208192819778
brca	PDGFRL	NP_006198.1	0.013743044182003306
brca	PDLIM2	NP_067643.3	0.013743044182003306
brca	PEBP4	NP_659399.2	0.011296356448341273
brca	PINX1	NP_060354.4|NP_001271285.1	0.12003647685170463
brca	PNMA2	NP_009188.1	0.06310140234986811
brca	POLR3D	NP_001713.2	0.016400909702375042
brca	PPP2CB	NP_001009552.1	0.12759197069606434
brca	PPP2R2A	NP_002708.1|NP_001171062.1	0.9999958373346344
brca	PPP3CC	NP_001230904.1|NP_005596.2|NP_001230903.1	0.20487913515472078
brca	PSD3	NP_056125.3|NP_996792.1	0.5857718828505293
brca	R3HCC1	NP_001129580.2|NP_001288579.1	0.5034896554075352
brca	RBPMS	NP_001008712.1|NP_001008711.1	0.016400909702375042
brca	SARAF	NP_057211.4|NP_001271168.1	0.11363130918438479
brca	SH2D4A	NP_071354.2|NP_001167631.1	0.16459426273323188
brca	SLC39A14	NP_001121903.1|NP_056174.2|NP_001128626.1	0.05302551564536736
brca	SLC7A2	NP_001158243.1|NP_001008539.3|NP_003037.4	0.5489176953980047
brca	SORBS3	NP_005766.3|NP_001018003.1	0.21089165863028272
brca	STC1	NP_003146.1	0.12422685004196028
